Beginning training
global_step=1000, episodic_return=0.00
global_step=2001, episodic_return=0.00
global_step=3002, episodic_return=199.00
global_step=4003, episodic_return=204.00
global_step=5004, episodic_return=0.00
global_step=6005, episodic_return=0.00
global_step=7006, episodic_return=66.00
global_step=8007, episodic_return=0.00
SPS: 128
global_step=9008, episodic_return=0.00
global_step=10009, episodic_return=0.00
global_step=11010, episodic_return=44.00
global_step=12011, episodic_return=129.00
global_step=13012, episodic_return=0.00
global_step=14013, episodic_return=0.00
global_step=15014, episodic_return=444.00
global_step=16015, episodic_return=0.00
SPS: 115
global_step=17016, episodic_return=44.00
global_step=18017, episodic_return=20.00
global_step=19018, episodic_return=0.00
global_step=20019, episodic_return=193.00
global_step=21020, episodic_return=0.00
global_step=22021, episodic_return=620.00
global_step=23022, episodic_return=0.00
global_step=24023, episodic_return=37.00
SPS: 121
global_step=25024, episodic_return=69.00
global_step=26025, episodic_return=238.00
global_step=27026, episodic_return=58.00
global_step=28027, episodic_return=20.00
global_step=29028, episodic_return=76.00
global_step=30029, episodic_return=9.00
global_step=31030, episodic_return=6.00
global_step=32031, episodic_return=0.00
SPS: 115
global_step=33032, episodic_return=54.00
global_step=34033, episodic_return=629.00
global_step=35034, episodic_return=322.00
global_step=36035, episodic_return=0.00
global_step=37036, episodic_return=107.00
global_step=38037, episodic_return=1.00
global_step=39038, episodic_return=0.00
global_step=40039, episodic_return=30.00
SPS: 112
global_step=41040, episodic_return=801.00
global_step=42041, episodic_return=45.00
global_step=43042, episodic_return=0.00
global_step=44043, episodic_return=14.00
global_step=45044, episodic_return=386.00
global_step=46045, episodic_return=381.00
global_step=47046, episodic_return=784.00
global_step=48047, episodic_return=0.00
global_step=49048, episodic_return=34.00
SPS: 108
global_step=50049, episodic_return=663.00
global_step=51050, episodic_return=480.00
global_step=52051, episodic_return=754.00
global_step=53052, episodic_return=206.00
global_step=54053, episodic_return=107.00
global_step=55054, episodic_return=12.00
global_step=56055, episodic_return=205.00
global_step=57056, episodic_return=221.00
SPS: 103
global_step=58057, episodic_return=25.00
global_step=59058, episodic_return=9.00
global_step=60059, episodic_return=348.00
global_step=61060, episodic_return=83.00
global_step=62061, episodic_return=0.00
global_step=63062, episodic_return=0.00
global_step=64063, episodic_return=120.00
global_step=65064, episodic_return=24.00
SPS: 100
global_step=66065, episodic_return=744.00
global_step=67066, episodic_return=82.00
global_step=68067, episodic_return=420.00
global_step=69068, episodic_return=6.00
global_step=70069, episodic_return=48.00
global_step=71070, episodic_return=221.00
global_step=72071, episodic_return=16.00
global_step=73072, episodic_return=83.00
SPS: 97
global_step=74073, episodic_return=404.00
global_step=75074, episodic_return=152.00
global_step=76075, episodic_return=175.00
global_step=77076, episodic_return=0.00
global_step=78077, episodic_return=68.00
global_step=79078, episodic_return=315.00
global_step=80079, episodic_return=0.00
global_step=81080, episodic_return=34.00
SPS: 96
global_step=82081, episodic_return=309.00
global_step=83082, episodic_return=913.00
global_step=84083, episodic_return=0.00
global_step=85084, episodic_return=22.00
global_step=86085, episodic_return=808.00
global_step=87086, episodic_return=920.00
global_step=88087, episodic_return=498.00
global_step=89088, episodic_return=706.00
global_step=90089, episodic_return=933.00
SPS: 95
global_step=91090, episodic_return=0.00
global_step=92091, episodic_return=776.00
global_step=93092, episodic_return=726.00
global_step=94093, episodic_return=936.00
global_step=95094, episodic_return=448.00
global_step=96095, episodic_return=0.00
global_step=97096, episodic_return=700.00
global_step=98097, episodic_return=414.00
SPS: 94
global_step=99098, episodic_return=289.00
global_step=100099, episodic_return=0.00
global_step=101100, episodic_return=166.00
global_step=102101, episodic_return=844.00
global_step=103102, episodic_return=844.00
global_step=104103, episodic_return=155.00
global_step=105104, episodic_return=180.00
global_step=106105, episodic_return=978.00
SPS: 93
global_step=107106, episodic_return=774.00
global_step=108107, episodic_return=724.00
global_step=109108, episodic_return=476.00
global_step=110109, episodic_return=858.00
global_step=111110, episodic_return=911.00
global_step=112111, episodic_return=96.00
global_step=113112, episodic_return=370.00
global_step=114113, episodic_return=0.00
SPS: 92
global_step=115114, episodic_return=905.00
global_step=116115, episodic_return=387.00
global_step=117116, episodic_return=52.00
global_step=118117, episodic_return=72.00
global_step=119118, episodic_return=607.00
global_step=120119, episodic_return=542.00
global_step=121120, episodic_return=616.00
global_step=122121, episodic_return=926.00
SPS: 91
global_step=123122, episodic_return=3.00
global_step=124123, episodic_return=925.00
global_step=125124, episodic_return=0.00
global_step=126125, episodic_return=597.00
global_step=127126, episodic_return=0.00
global_step=128127, episodic_return=975.00
global_step=129128, episodic_return=971.00
global_step=130129, episodic_return=57.00
SPS: 90
global_step=131130, episodic_return=937.00
global_step=132131, episodic_return=59.00
global_step=133132, episodic_return=944.00
global_step=134133, episodic_return=981.00
global_step=135134, episodic_return=132.00
global_step=136135, episodic_return=984.00
global_step=137136, episodic_return=0.00
global_step=138137, episodic_return=718.00
global_step=139138, episodic_return=0.00
SPS: 89
global_step=140139, episodic_return=74.00
global_step=141140, episodic_return=796.00
global_step=142141, episodic_return=400.00
global_step=143142, episodic_return=0.00
global_step=144143, episodic_return=958.00
global_step=145144, episodic_return=816.00
global_step=146145, episodic_return=0.00
global_step=147146, episodic_return=140.00
SPS: 88
global_step=148147, episodic_return=713.00
global_step=149148, episodic_return=79.00
global_step=150149, episodic_return=706.00
global_step=151150, episodic_return=929.00
global_step=152151, episodic_return=849.00
global_step=153152, episodic_return=946.00
global_step=154153, episodic_return=0.00
global_step=155154, episodic_return=897.00
SPS: 87
global_step=156155, episodic_return=567.00
global_step=157156, episodic_return=760.00
global_step=158157, episodic_return=965.00
global_step=159158, episodic_return=8.00
global_step=160159, episodic_return=863.00
global_step=161160, episodic_return=979.00
global_step=162161, episodic_return=953.00
global_step=163162, episodic_return=921.00
SPS: 88
global_step=164163, episodic_return=854.00
global_step=165164, episodic_return=165.00
global_step=166165, episodic_return=13.00
global_step=167166, episodic_return=77.00
global_step=168167, episodic_return=645.00
global_step=169168, episodic_return=629.00
global_step=170169, episodic_return=979.00
global_step=171170, episodic_return=920.00
SPS: 87
global_step=172171, episodic_return=0.00
global_step=173172, episodic_return=966.00
global_step=174173, episodic_return=888.00
global_step=175174, episodic_return=34.00
global_step=176175, episodic_return=942.00
global_step=177176, episodic_return=745.00
global_step=178177, episodic_return=0.00
global_step=179178, episodic_return=915.00
global_step=180179, episodic_return=950.00
SPS: 87
global_step=181180, episodic_return=368.00
global_step=182181, episodic_return=955.00
global_step=183182, episodic_return=836.00
global_step=184183, episodic_return=150.00
global_step=185184, episodic_return=52.00
global_step=186185, episodic_return=8.00
global_step=187186, episodic_return=378.00
global_step=188187, episodic_return=903.00
SPS: 86
global_step=189188, episodic_return=0.00
global_step=190189, episodic_return=903.00
global_step=191190, episodic_return=7.00
global_step=192191, episodic_return=9.00
global_step=193192, episodic_return=853.00
global_step=194193, episodic_return=767.00
global_step=195194, episodic_return=463.00
global_step=196195, episodic_return=685.00
SPS: 86
global_step=197196, episodic_return=0.00
global_step=198197, episodic_return=960.00
global_step=199198, episodic_return=819.00
global_step=200199, episodic_return=11.00
global_step=201200, episodic_return=975.00
global_step=202201, episodic_return=991.00
global_step=203202, episodic_return=936.00
global_step=204203, episodic_return=248.00
SPS: 86
global_step=205204, episodic_return=997.00
global_step=206205, episodic_return=729.00
global_step=207206, episodic_return=973.00
global_step=208207, episodic_return=916.00
global_step=209208, episodic_return=815.00
global_step=210209, episodic_return=937.00
global_step=211210, episodic_return=940.00
global_step=212211, episodic_return=980.00
SPS: 86
global_step=213212, episodic_return=125.00
global_step=214213, episodic_return=983.00
global_step=215214, episodic_return=14.00
global_step=216215, episodic_return=62.00
global_step=217216, episodic_return=832.00
