Beginning training
global_step=1000, episodic_return=10.23
SPS: 151
global_step=2001, episodic_return=179.80
SPS: 161
global_step=3002, episodic_return=33.97
SPS: 165
global_step=4003, episodic_return=162.77
SPS: 167
global_step=5004, episodic_return=194.54
SPS: 167
global_step=6005, episodic_return=235.50
SPS: 168
global_step=7006, episodic_return=120.53
SPS: 169
global_step=8007, episodic_return=151.72
SPS: 169
global_step=9008, episodic_return=38.67
SPS: 169
global_step=10009, episodic_return=131.99
SPS: 169
global_step=11010, episodic_return=262.24
SPS: 169
global_step=12011, episodic_return=177.95
SPS: 169
global_step=13012, episodic_return=241.06
SPS: 169
global_step=14013, episodic_return=193.15
SPS: 169
global_step=15014, episodic_return=170.10
SPS: 169
global_step=16015, episodic_return=170.76
SPS: 169
global_step=17016, episodic_return=160.63
SPS: 169
global_step=18017, episodic_return=152.11
SPS: 169
global_step=19018, episodic_return=131.29
SPS: 169
global_step=20019, episodic_return=166.09
SPS: 169
global_step=21020, episodic_return=180.45
SPS: 169
global_step=22021, episodic_return=214.68
SPS: 169
global_step=23022, episodic_return=194.47
SPS: 169
global_step=24023, episodic_return=161.99
SPS: 169
global_step=25024, episodic_return=149.45
SPS: 169
global_step=26025, episodic_return=196.29
SPS: 169
global_step=27026, episodic_return=187.56
SPS: 169
global_step=28027, episodic_return=190.56
SPS: 169
global_step=29028, episodic_return=176.86
SPS: 169
global_step=30029, episodic_return=161.95
SPS: 169
global_step=31030, episodic_return=155.87
SPS: 169
global_step=32031, episodic_return=158.92
SPS: 169
global_step=33032, episodic_return=207.47
SPS: 169
global_step=34033, episodic_return=149.94
SPS: 169
global_step=35034, episodic_return=157.45
SPS: 169
global_step=36035, episodic_return=156.03
SPS: 169
global_step=37036, episodic_return=151.36
SPS: 169
global_step=38037, episodic_return=155.62
SPS: 169
global_step=39038, episodic_return=153.10
SPS: 169
global_step=40039, episodic_return=157.81
SPS: 169
global_step=41040, episodic_return=146.20
SPS: 169
global_step=42041, episodic_return=155.82
SPS: 169
global_step=43042, episodic_return=160.60
SPS: 169
global_step=44043, episodic_return=160.13
global_step=45044, episodic_return=156.19
SPS: 169
global_step=46045, episodic_return=155.91
SPS: 169
global_step=47046, episodic_return=164.12
SPS: 169
global_step=48047, episodic_return=176.73
SPS: 169
global_step=49048, episodic_return=238.49
SPS: 169
global_step=50049, episodic_return=187.91
SPS: 169
global_step=51050, episodic_return=260.48
SPS: 169
global_step=52051, episodic_return=185.70
SPS: 169
global_step=53052, episodic_return=281.50
SPS: 169
global_step=54053, episodic_return=248.15
SPS: 169
global_step=55054, episodic_return=264.15
SPS: 169
global_step=56055, episodic_return=234.94
SPS: 168
global_step=57056, episodic_return=203.22
SPS: 168
global_step=58057, episodic_return=225.77
SPS: 168
global_step=59058, episodic_return=261.19
SPS: 168
global_step=60059, episodic_return=270.92
SPS: 168
global_step=61060, episodic_return=215.24
SPS: 168
global_step=62061, episodic_return=199.55
SPS: 168
