Beginning training
global_step=1000, episodic_return=5.39
global_step=2001, episodic_return=3.27
global_step=3002, episodic_return=10.87
global_step=4003, episodic_return=4.05
global_step=5004, episodic_return=3.62
global_step=6005, episodic_return=3.46
global_step=7006, episodic_return=6.60
global_step=8007, episodic_return=4.65
SPS: 633
global_step=9008, episodic_return=9.36
global_step=10009, episodic_return=5.20
global_step=11010, episodic_return=4.26
global_step=12011, episodic_return=3.45
global_step=13012, episodic_return=11.16
global_step=14013, episodic_return=5.53
global_step=15014, episodic_return=7.57
global_step=16015, episodic_return=6.66
SPS: 635
global_step=17016, episodic_return=5.00
global_step=18017, episodic_return=7.87
global_step=19018, episodic_return=10.31
global_step=20019, episodic_return=7.60
global_step=21020, episodic_return=4.93
global_step=22021, episodic_return=11.67
global_step=23022, episodic_return=7.49
global_step=24023, episodic_return=7.39
SPS: 638
global_step=25024, episodic_return=10.41
global_step=26025, episodic_return=19.97
global_step=27026, episodic_return=11.67
global_step=28027, episodic_return=15.00
global_step=29028, episodic_return=12.06
global_step=30029, episodic_return=13.50
global_step=31030, episodic_return=8.81
global_step=32031, episodic_return=11.57
SPS: 638
global_step=33032, episodic_return=18.35
global_step=34033, episodic_return=18.52
global_step=35034, episodic_return=11.92
global_step=36035, episodic_return=24.37
global_step=37036, episodic_return=22.61
global_step=38037, episodic_return=19.64
global_step=39038, episodic_return=13.14
global_step=40039, episodic_return=18.25
SPS: 639
global_step=41040, episodic_return=21.33
global_step=42041, episodic_return=32.11
global_step=43042, episodic_return=26.23
global_step=44043, episodic_return=26.26
global_step=45044, episodic_return=24.91
global_step=46045, episodic_return=31.96
global_step=47046, episodic_return=34.60
global_step=48047, episodic_return=42.72
global_step=49048, episodic_return=36.72
SPS: 639
global_step=50049, episodic_return=44.58
global_step=51050, episodic_return=45.55
global_step=52051, episodic_return=37.68
global_step=53052, episodic_return=28.89
global_step=54053, episodic_return=46.25
global_step=55054, episodic_return=42.47
global_step=56055, episodic_return=37.91
global_step=57056, episodic_return=34.55
SPS: 639
global_step=58057, episodic_return=51.52
global_step=59058, episodic_return=45.75
global_step=60059, episodic_return=59.00
global_step=61060, episodic_return=56.89
global_step=62061, episodic_return=40.37
global_step=63062, episodic_return=52.50
global_step=64063, episodic_return=51.28
global_step=65064, episodic_return=53.17
SPS: 640
global_step=66065, episodic_return=55.19
global_step=67066, episodic_return=65.82
global_step=68067, episodic_return=73.23
global_step=69068, episodic_return=60.53
global_step=70069, episodic_return=78.93
global_step=71070, episodic_return=79.96
global_step=72071, episodic_return=77.20
global_step=73072, episodic_return=73.31
SPS: 640
global_step=74073, episodic_return=78.86
global_step=75074, episodic_return=72.39
global_step=76075, episodic_return=71.11
global_step=77076, episodic_return=90.66
global_step=78077, episodic_return=91.58
global_step=79078, episodic_return=74.81
global_step=80079, episodic_return=93.60
global_step=81080, episodic_return=92.67
SPS: 640
global_step=82081, episodic_return=83.90
global_step=83082, episodic_return=86.35
global_step=84083, episodic_return=87.19
global_step=85084, episodic_return=104.84
global_step=86085, episodic_return=102.50
global_step=87086, episodic_return=109.12
global_step=88087, episodic_return=88.38
global_step=89088, episodic_return=117.76
global_step=90089, episodic_return=104.96
SPS: 641
global_step=91090, episodic_return=121.07
global_step=92091, episodic_return=107.74
global_step=93092, episodic_return=124.00
global_step=94093, episodic_return=136.41
global_step=95094, episodic_return=123.44
global_step=96095, episodic_return=104.70
global_step=97096, episodic_return=116.65
global_step=98097, episodic_return=113.44
SPS: 641
global_step=99098, episodic_return=48.05
global_step=100099, episodic_return=41.23
global_step=101100, episodic_return=77.72
global_step=102101, episodic_return=29.72
global_step=103102, episodic_return=83.37
global_step=104103, episodic_return=131.88
global_step=105104, episodic_return=29.95
global_step=106105, episodic_return=129.10
SPS: 641
global_step=107106, episodic_return=65.21
global_step=108107, episodic_return=98.72
global_step=109108, episodic_return=106.54
global_step=110109, episodic_return=147.07
global_step=111110, episodic_return=41.01
global_step=112111, episodic_return=92.40
global_step=113112, episodic_return=26.20
global_step=114113, episodic_return=97.93
SPS: 641
global_step=115114, episodic_return=126.23
global_step=116115, episodic_return=128.63
global_step=117116, episodic_return=101.25
global_step=118117, episodic_return=50.85
global_step=119118, episodic_return=130.34
global_step=120119, episodic_return=118.92
global_step=121120, episodic_return=152.31
global_step=122121, episodic_return=124.47
SPS: 640
global_step=123122, episodic_return=30.53
global_step=124123, episodic_return=154.22
global_step=125124, episodic_return=132.76
global_step=126125, episodic_return=129.38
global_step=127126, episodic_return=92.08
global_step=128127, episodic_return=121.23
global_step=129128, episodic_return=112.73
global_step=130129, episodic_return=35.59
SPS: 641
global_step=131130, episodic_return=116.83
global_step=132131, episodic_return=135.15
global_step=133132, episodic_return=146.88
global_step=134133, episodic_return=137.92
global_step=135134, episodic_return=142.27
global_step=136135, episodic_return=158.29
global_step=137136, episodic_return=100.03
global_step=138137, episodic_return=113.93
global_step=139138, episodic_return=124.96
SPS: 641
global_step=140139, episodic_return=80.64
global_step=141140, episodic_return=34.38
global_step=142141, episodic_return=139.79
global_step=143142, episodic_return=109.62
global_step=144143, episodic_return=67.49
global_step=145144, episodic_return=118.61
global_step=146145, episodic_return=104.46
global_step=147146, episodic_return=181.41
SPS: 641
global_step=148147, episodic_return=59.60
global_step=149148, episodic_return=112.11
global_step=150149, episodic_return=86.48
global_step=151150, episodic_return=102.51
global_step=152151, episodic_return=92.16
global_step=153152, episodic_return=163.02
global_step=154153, episodic_return=172.01
global_step=155154, episodic_return=43.59
SPS: 641
global_step=156155, episodic_return=66.55
global_step=157156, episodic_return=198.63
