Beginning training
global_step=1000, episodic_return=25.39
global_step=2001, episodic_return=32.89
global_step=3002, episodic_return=8.87
global_step=4003, episodic_return=39.07
global_step=5004, episodic_return=36.09
global_step=6005, episodic_return=24.49
global_step=7006, episodic_return=15.66
global_step=8007, episodic_return=132.67
SPS: 145
global_step=9008, episodic_return=44.86
global_step=10009, episodic_return=155.09
global_step=11010, episodic_return=72.38
global_step=12011, episodic_return=42.57
global_step=13012, episodic_return=92.09
global_step=14013, episodic_return=105.89
global_step=15014, episodic_return=101.14
global_step=16015, episodic_return=152.23
SPS: 146
global_step=17016, episodic_return=39.80
global_step=18017, episodic_return=107.05
global_step=19018, episodic_return=217.78
global_step=20019, episodic_return=61.31
global_step=21020, episodic_return=164.43
global_step=22021, episodic_return=169.64
global_step=23022, episodic_return=60.43
global_step=24023, episodic_return=69.20
SPS: 144
global_step=25024, episodic_return=203.73
global_step=26025, episodic_return=163.09
global_step=27026, episodic_return=242.13
global_step=28027, episodic_return=126.02
global_step=29028, episodic_return=125.03
global_step=30029, episodic_return=135.85
global_step=31030, episodic_return=160.26
global_step=32031, episodic_return=178.85
SPS: 135
global_step=33032, episodic_return=126.76
global_step=34033, episodic_return=200.43
global_step=35034, episodic_return=186.63
global_step=36035, episodic_return=135.93
global_step=37036, episodic_return=194.13
global_step=38037, episodic_return=69.98
global_step=39038, episodic_return=177.68
global_step=40039, episodic_return=148.37
SPS: 131
global_step=41040, episodic_return=236.50
global_step=42041, episodic_return=187.46
global_step=43042, episodic_return=211.21
global_step=44043, episodic_return=161.23
global_step=45044, episodic_return=258.27
global_step=46045, episodic_return=237.06
global_step=47046, episodic_return=185.65
global_step=48047, episodic_return=166.98
global_step=49048, episodic_return=211.74
SPS: 131
global_step=50049, episodic_return=270.23
global_step=51050, episodic_return=262.95
global_step=52051, episodic_return=291.02
global_step=53052, episodic_return=202.31
global_step=54053, episodic_return=255.47
global_step=55054, episodic_return=174.48
global_step=56055, episodic_return=184.43
global_step=57056, episodic_return=183.10
SPS: 128
global_step=58057, episodic_return=178.20
global_step=59058, episodic_return=199.37
global_step=60059, episodic_return=228.73
global_step=61060, episodic_return=212.72
global_step=62061, episodic_return=199.30
global_step=63062, episodic_return=211.85
global_step=64063, episodic_return=193.02
global_step=65064, episodic_return=277.89
SPS: 125
global_step=66065, episodic_return=278.60
global_step=67066, episodic_return=229.97
global_step=68067, episodic_return=185.97
global_step=69068, episodic_return=195.93
global_step=70069, episodic_return=218.99
global_step=71070, episodic_return=220.00
global_step=72071, episodic_return=293.49
global_step=73072, episodic_return=201.87
SPS: 127
global_step=74073, episodic_return=184.59
global_step=75074, episodic_return=251.31
global_step=76075, episodic_return=252.91
global_step=77076, episodic_return=252.71
global_step=78077, episodic_return=203.29
global_step=79078, episodic_return=249.24
global_step=80079, episodic_return=264.13
global_step=81080, episodic_return=214.15
SPS: 126
global_step=82081, episodic_return=204.91
global_step=83082, episodic_return=224.45
global_step=84083, episodic_return=218.43
global_step=85084, episodic_return=246.52
global_step=86085, episodic_return=226.11
global_step=87086, episodic_return=229.83
global_step=88087, episodic_return=178.59
global_step=89088, episodic_return=226.58
global_step=90089, episodic_return=212.38
SPS: 127
global_step=91090, episodic_return=235.59
global_step=92091, episodic_return=170.10
global_step=93092, episodic_return=251.43
global_step=94093, episodic_return=268.26
global_step=95094, episodic_return=171.63
global_step=96095, episodic_return=258.33
global_step=97096, episodic_return=167.57
global_step=98097, episodic_return=236.92
SPS: 126
global_step=99098, episodic_return=297.32
global_step=100099, episodic_return=196.31
global_step=101100, episodic_return=224.50
global_step=102101, episodic_return=265.67
global_step=103102, episodic_return=298.79
global_step=104103, episodic_return=175.42
global_step=105104, episodic_return=271.16
global_step=106105, episodic_return=243.22
SPS: 124
global_step=107106, episodic_return=333.91
global_step=108107, episodic_return=309.00
global_step=109108, episodic_return=200.88
global_step=110109, episodic_return=236.93
global_step=111110, episodic_return=266.70
global_step=112111, episodic_return=210.67
global_step=113112, episodic_return=284.31
global_step=114113, episodic_return=299.95
SPS: 123
global_step=115114, episodic_return=247.03
global_step=116115, episodic_return=281.96
global_step=117116, episodic_return=200.25
global_step=118117, episodic_return=281.83
global_step=119118, episodic_return=232.60
global_step=120119, episodic_return=314.15
global_step=121120, episodic_return=282.24
global_step=122121, episodic_return=331.80
SPS: 123
global_step=123122, episodic_return=422.31
global_step=124123, episodic_return=277.14
global_step=125124, episodic_return=321.12
global_step=126125, episodic_return=315.89
global_step=127126, episodic_return=249.98
global_step=128127, episodic_return=343.46
global_step=129128, episodic_return=285.33
global_step=130129, episodic_return=275.35
SPS: 124
global_step=131130, episodic_return=236.44
global_step=132131, episodic_return=242.78
global_step=133132, episodic_return=242.18
global_step=134133, episodic_return=272.28
global_step=135134, episodic_return=307.48
global_step=136135, episodic_return=411.65
global_step=137136, episodic_return=318.03
global_step=138137, episodic_return=274.98
global_step=139138, episodic_return=454.98
SPS: 126
global_step=140139, episodic_return=369.91
global_step=141140, episodic_return=431.20
global_step=142141, episodic_return=339.00
global_step=143142, episodic_return=277.67
global_step=144143, episodic_return=464.27
global_step=145144, episodic_return=372.25
global_step=146145, episodic_return=282.53
global_step=147146, episodic_return=264.74
SPS: 125
global_step=148147, episodic_return=426.26
global_step=149148, episodic_return=291.54
global_step=150149, episodic_return=271.63
global_step=151150, episodic_return=350.78
global_step=152151, episodic_return=380.69
global_step=153152, episodic_return=401.47
global_step=154153, episodic_return=551.64
global_step=155154, episodic_return=326.72
SPS: 124
global_step=156155, episodic_return=608.69
global_step=157156, episodic_return=302.29
global_step=158157, episodic_return=418.78
global_step=159158, episodic_return=372.04
global_step=160159, episodic_return=385.96
global_step=161160, episodic_return=374.24
global_step=162161, episodic_return=284.02
global_step=163162, episodic_return=426.88
SPS: 122
global_step=164163, episodic_return=594.44
global_step=165164, episodic_return=648.22
global_step=166165, episodic_return=590.77
global_step=167166, episodic_return=293.38
global_step=168167, episodic_return=646.76
global_step=169168, episodic_return=726.11
global_step=170169, episodic_return=198.81
global_step=171170, episodic_return=399.11
SPS: 121
global_step=172171, episodic_return=409.50
global_step=173172, episodic_return=422.53
global_step=174173, episodic_return=381.28
global_step=175174, episodic_return=762.96
global_step=176175, episodic_return=757.44
global_step=177176, episodic_return=555.08
global_step=178177, episodic_return=609.45
global_step=179178, episodic_return=322.12
global_step=180179, episodic_return=584.98
SPS: 119
global_step=181180, episodic_return=747.53
global_step=182181, episodic_return=761.50
global_step=183182, episodic_return=669.83
global_step=184183, episodic_return=745.42
global_step=185184, episodic_return=643.02
global_step=186185, episodic_return=579.24
global_step=187186, episodic_return=630.22
global_step=188187, episodic_return=261.42
SPS: 120
global_step=189188, episodic_return=339.08
global_step=190189, episodic_return=537.32
global_step=191190, episodic_return=373.83
global_step=192191, episodic_return=267.59
global_step=193192, episodic_return=298.65
global_step=194193, episodic_return=433.78
global_step=195194, episodic_return=506.58
global_step=196195, episodic_return=418.73
SPS: 120
global_step=197196, episodic_return=683.73
global_step=198197, episodic_return=689.53
global_step=199198, episodic_return=542.51
global_step=200199, episodic_return=670.74
global_step=201200, episodic_return=405.06
global_step=202201, episodic_return=575.08
global_step=203202, episodic_return=353.79
global_step=204203, episodic_return=471.18
SPS: 120
global_step=205204, episodic_return=501.96
global_step=206205, episodic_return=660.22
global_step=207206, episodic_return=568.38
global_step=208207, episodic_return=196.12
global_step=209208, episodic_return=667.62
global_step=210209, episodic_return=361.43
global_step=211210, episodic_return=629.64
global_step=212211, episodic_return=592.41
SPS: 120
global_step=213212, episodic_return=681.30
global_step=214213, episodic_return=492.47
global_step=215214, episodic_return=720.99
global_step=216215, episodic_return=721.49
global_step=217216, episodic_return=590.40
global_step=218217, episodic_return=733.04
global_step=219218, episodic_return=332.26
global_step=220219, episodic_return=470.31
SPS: 121
global_step=221220, episodic_return=742.59
global_step=222221, episodic_return=736.93
global_step=223222, episodic_return=742.56
global_step=224223, episodic_return=740.67
global_step=225224, episodic_return=725.82
global_step=226225, episodic_return=748.15
global_step=227226, episodic_return=734.03
global_step=228227, episodic_return=582.47
global_step=229228, episodic_return=740.78
SPS: 121
global_step=230229, episodic_return=734.63
global_step=231230, episodic_return=731.92
global_step=232231, episodic_return=739.52
