timestep,episodic_return
1000,28.0
2001,0.0
3002,0.0
4003,0.0
5004,0.0
6005,0.0
7006,0.0
8007,0.0
9008,0.0
10009,0.0
11010,0.0
12011,0.0
13012,0.0
14013,0.0
15014,0.0
16015,0.0
17016,0.0
18017,0.0
19018,0.0
20019,0.0
21020,18.0
22021,0.0
23022,0.0
24023,0.0
25024,0.0
26025,0.0
27026,0.0
28027,0.0
29028,0.0
30029,0.0
31030,0.0
32031,0.0
33032,0.0
34033,0.0
35034,0.0
36035,0.0
37036,0.0
38037,0.0
39038,0.0
40039,0.0
41040,0.0
42041,0.0
43042,0.0
44043,0.0
45044,0.0
46045,0.0
47046,0.0
48047,0.0
49048,0.0
50049,0.0
51050,0.0
52051,0.0
53052,0.0
54053,0.0
55054,0.0
56055,0.0
57056,0.0
58057,0.0
59058,3.0
60059,0.0
61060,0.0
62061,0.0
63062,0.0
64063,0.0
65064,0.0
66065,0.0
67066,0.0
68067,0.0
69068,0.0
70069,0.0
71070,0.0
72071,0.0
73072,0.0
74073,0.0
75074,0.0
76075,0.0
77076,0.0
78077,0.0
79078,0.0
80079,0.0
81080,0.0
82081,0.0
83082,0.0
84083,0.0
85084,0.0
86085,0.0
87086,0.0
88087,0.0
89088,0.0
90089,0.0
91090,0.0
92091,0.0
93092,0.0
94093,0.0
95094,0.0
96095,0.0
97096,13.0
98097,28.0
99098,0.0
100099,0.0
101100,0.0
102101,0.0
103102,0.0
104103,9.0
105104,0.0
106105,0.0
107106,0.0
108107,0.0
109108,0.0
110109,0.0
111110,0.0
112111,0.0
113112,0.0
114113,0.0
115114,20.0
116115,0.0
117116,0.0
118117,0.0
119118,0.0
120119,0.0
121120,0.0
122121,0.0
123122,0.0
124123,0.0
125124,0.0
126125,0.0
127126,0.0
128127,0.0
129128,0.0
130129,0.0
131130,0.0
132131,0.0
133132,0.0
134133,0.0
135134,0.0
136135,0.0
137136,0.0
138137,0.0
139138,0.0
140139,0.0
141140,0.0
142141,0.0
143142,51.0
144143,0.0
145144,0.0
146145,0.0
147146,28.0
148147,35.0
149148,0.0
150149,0.0
151150,37.0
152151,0.0
153152,62.0
154153,0.0
155154,47.0
156155,8.0
157156,0.0
158157,43.0
159158,37.0
160159,0.0
161160,18.0
162161,26.0
163162,27.0
164163,72.0
165164,118.0
166165,43.0
167166,49.0
168167,32.0
169168,75.0
170169,74.0
171170,59.0
172171,83.0
173172,73.0
174173,49.0
175174,1.0
176175,55.0
177176,84.0
178177,44.0
179178,65.0
180179,34.0
181180,51.0
182181,57.0
183182,65.0
184183,49.0
185184,73.0
186185,55.0
187186,45.0
188187,42.0
189188,27.0
190189,29.0
191190,33.0
192191,35.0
193192,35.0
194193,36.0
195194,42.0
196195,45.0
197196,63.0
198197,47.0
199198,49.0
200199,34.0
201200,34.0
202201,41.0
203202,70.0
204203,47.0
205204,31.0
206205,76.0
207206,47.0
208207,44.0
209208,74.0
210209,52.0
211210,58.0
212211,54.0
213212,81.0
214213,30.0
215214,32.0
216215,62.0
217216,51.0
218217,57.0
219218,64.0
220219,56.0
221220,35.0
222221,13.0
223222,46.0
224223,36.0
225224,65.0
226225,59.0
227226,73.0
228227,65.0
229228,98.0
230229,63.0
231230,37.0
232231,32.0
233232,63.0
234233,51.0
235234,41.0
236235,71.0
237236,62.0
238237,39.0
