timestep,episodic_return
1000,0.0
2001,0.0
3002,64.0
4003,0.0
5004,50.0
6005,50.0
7006,22.0
8007,0.0
9008,0.0
10009,50.0
11010,19.0
12011,0.0
13012,15.0
14013,0.0
15014,0.0
16015,255.0
17016,46.0
18017,44.0
19018,240.0
20019,36.0
21020,30.0
22021,150.0
23022,33.0
24023,116.0
25024,92.0
26025,11.0
27026,98.0
28027,56.0
29028,248.0
30029,240.0
31030,48.0
32031,4.0
33032,32.0
34033,118.0
35034,32.0
36035,29.0
37036,47.0
38037,72.0
39038,167.0
40039,39.0
41040,124.0
42041,123.0
43042,0.0
44043,88.0
45044,96.0
46045,16.0
47046,28.0
48047,114.0
49048,18.0
50049,30.0
51050,99.0
52051,0.0
53052,87.0
54053,18.0
55054,23.0
56055,140.0
57056,42.0
58057,0.0
59058,317.0
60059,0.0
61060,0.0
62061,0.0
63062,46.0
64063,29.0
65064,206.0
66065,10.0
67066,0.0
68067,50.0
69068,151.0
70069,0.0
71070,225.0
72071,0.0
73072,367.0
74073,479.0
75074,9.0
76075,5.0
77076,10.0
78077,0.0
79078,806.0
80079,0.0
81080,575.0
82081,734.0
83082,41.0
84083,0.0
85084,156.0
86085,642.0
87086,0.0
88087,0.0
89088,0.0
90089,0.0
91090,370.0
92091,684.0
93092,477.0
94093,0.0
95094,20.0
96095,0.0
97096,0.0
98097,0.0
99098,84.0
100099,0.0
101100,822.0
102101,551.0
103102,208.0
104103,10.0
105104,0.0
106105,131.0
107106,635.0
108107,538.0
109108,0.0
110109,370.0
111110,246.0
112111,516.0
113112,132.0
114113,105.0
115114,806.0
116115,495.0
117116,0.0
118117,213.0
119118,170.0
120119,12.0
121120,764.0
122121,0.0
123122,749.0
124123,0.0
125124,0.0
126125,78.0
127126,403.0
128127,872.0
129128,0.0
130129,0.0
131130,0.0
132131,0.0
133132,938.0
134133,536.0
135134,53.0
136135,898.0
137136,922.0
138137,900.0
139138,909.0
140139,604.0
141140,0.0
142141,141.0
143142,929.0
144143,902.0
145144,816.0
146145,7.0
147146,865.0
148147,709.0
149148,321.0
150149,99.0
151150,0.0
152151,895.0
153152,992.0
154153,52.0
155154,590.0
156155,768.0
157156,262.0
158157,918.0
159158,925.0
160159,949.0
161160,876.0
162161,853.0
163162,925.0
164163,0.0
165164,0.0
166165,887.0
167166,504.0
168167,19.0
169168,0.0
170169,779.0
171170,48.0
172171,958.0
173172,946.0
174173,614.0
175174,0.0
176175,397.0
177176,34.0
178177,483.0
179178,519.0
180179,0.0
181180,922.0
182181,1.0
183182,0.0
184183,856.0
185184,993.0
186185,0.0
187186,918.0
188187,939.0
189188,0.0
190189,512.0
191190,726.0
192191,119.0
193192,79.0
194193,0.0
195194,888.0
196195,845.0
197196,0.0
198197,0.0
199198,428.0
200199,951.0
201200,867.0
202201,907.0
203202,914.0
204203,95.0
205204,987.0
206205,904.0
207206,844.0
208207,994.0
209208,448.0
210209,435.0
211210,573.0
212211,3.0
213212,0.0
214213,928.0
215214,525.0
216215,41.0
217216,0.0
218217,877.0
219218,105.0
220219,676.0
221220,902.0
222221,0.0
223222,128.0
224223,930.0
225224,64.0
226225,141.0
227226,927.0
228227,540.0
229228,164.0
230229,417.0
231230,0.0
232231,319.0
233232,0.0
234233,738.0
235234,16.0
236235,503.0
237236,967.0
238237,914.0
239238,951.0
240239,609.0
241240,872.0
242241,695.0
243242,906.0
244243,924.0
245244,870.0
246245,814.0
247246,903.0
248247,913.0
249248,964.0
250249,874.0
251250,772.0
252251,836.0
253252,160.0
254253,890.0
255254,0.0
256255,872.0
257256,835.0
258257,949.0
259258,0.0
260259,949.0
261260,239.0
262261,802.0
263262,0.0
264263,503.0
265264,772.0
266265,991.0
267266,537.0
268267,771.0
269268,891.0
270269,0.0
271270,818.0
272271,0.0
273272,941.0
274273,418.0
275274,885.0
276275,179.0
277276,855.0
278277,17.0
279278,961.0
280279,565.0
281280,0.0
282281,0.0
283282,938.0
284283,23.0
285284,0.0
286285,0.0
287286,976.0
288287,0.0
289288,273.0
290289,960.0
291290,0.0
292291,958.0
293292,0.0
294293,0.0
295294,0.0
296295,367.0
297296,0.0
298297,0.0
299298,896.0
300299,0.0
301300,981.0
302301,0.0
303302,919.0
304303,0.0
305304,981.0
306305,662.0
307306,426.0
308307,910.0
309308,34.0
310309,0.0
311310,999.0
312311,921.0
313312,884.0
314313,974.0
315314,0.0
316315,0.0
317316,578.0
318317,0.0
319318,0.0
320319,0.0
321320,954.0
322321,898.0
323322,933.0
324323,727.0
325324,0.0
326325,903.0
327326,0.0
328327,785.0
329328,0.0
330329,443.0
331330,433.0
332331,812.0
333332,902.0
334333,0.0
335334,948.0
336335,0.0
337336,160.0
338337,961.0
339338,945.0
340339,884.0
341340,992.0
342341,673.0
343342,906.0
344343,779.0
345344,903.0
346345,0.0
347346,765.0
348347,0.0
349348,949.0
350349,887.0
351350,442.0
352351,855.0
353352,974.0
354353,990.0
355354,977.0
356355,561.0
357356,0.0
358357,978.0
359358,929.0
360359,620.0
361360,917.0
362361,0.0
363362,656.0
364363,0.0
365364,937.0
366365,724.0
367366,926.0
368367,825.0
369368,53.0
370369,0.0
371370,760.0
372371,968.0
373372,995.0
374373,470.0
375374,944.0
376375,0.0
377376,968.0
378377,923.0
379378,822.0
380379,380.0
381380,886.0
382381,0.0
383382,767.0
384383,996.0
385384,931.0
386385,740.0
387386,954.0
388387,733.0
389388,972.0
390389,751.0
391390,0.0
392391,846.0
393392,621.0
394393,931.0
395394,13.0
396395,908.0
397396,970.0
398397,35.0
399398,0.0
400399,870.0
401400,975.0
402401,919.0
403402,705.0
404403,62.0
405404,0.0
406405,935.0
407406,859.0
408407,0.0
409408,869.0
410409,924.0
411410,876.0
412411,910.0
413412,951.0
414413,977.0
415414,746.0
416415,820.0
417416,951.0
418417,0.0
419418,947.0
420419,722.0
421420,994.0
422421,932.0
423422,768.0
424423,866.0
425424,973.0
426425,961.0
427426,619.0
428427,994.0
429428,930.0
430429,0.0
431430,982.0
432431,982.0
433432,850.0
434433,943.0
435434,834.0
436435,530.0
437436,824.0
438437,462.0
439438,0.0
440439,0.0
441440,908.0
442441,996.0
443442,922.0
444443,954.0
445444,924.0
446445,821.0
447446,946.0
448447,817.0
449448,0.0
450449,989.0
451450,962.0
452451,462.0
453452,425.0
454453,655.0
455454,940.0
456455,0.0
457456,932.0
458457,756.0
459458,0.0
460459,935.0
461460,929.0
462461,862.0
463462,656.0
464463,925.0
465464,0.0
466465,858.0
467466,987.0
468467,805.0
469468,14.0
470469,27.0
471470,0.0
472471,0.0
473472,7.0
474473,632.0
475474,738.0
476475,0.0
477476,970.0
478477,947.0
479478,948.0
480479,983.0
481480,816.0
482481,0.0
483482,0.0
484483,755.0
485484,852.0
486485,0.0
487486,602.0
488487,937.0
489488,15.0
490489,969.0
491490,487.0
492491,100.0
493492,974.0
494493,33.0
495494,0.0
496495,935.0
497496,916.0
498497,0.0
499498,937.0
500499,620.0
501500,930.0
502501,957.0
503502,977.0
504503,910.0
505504,568.0
506505,398.0
507506,192.0
508507,524.0
509508,786.0
510509,187.0
511510,949.0
512511,21.0
513512,975.0
514513,0.0
515514,0.0
516515,951.0
517516,873.0
518517,389.0
519518,976.0
520519,511.0
521520,774.0
522521,992.0
523522,859.0
524523,197.0
525524,834.0
526525,855.0
527526,959.0
528527,0.0
529528,677.0
530529,954.0
531530,0.0
532531,0.0
533532,0.0
534533,954.0
535534,844.0
536535,968.0
537536,411.0
538537,582.0
539538,932.0
540539,950.0
541540,319.0
542541,0.0
543542,962.0
544543,998.0
545544,911.0
546545,937.0
547546,907.0
548547,30.0
549548,111.0
550549,384.0
551550,0.0
552551,882.0
553552,844.0
554553,968.0
555554,887.0
556555,878.0
557556,933.0
558557,981.0
559558,912.0
560559,933.0
561560,540.0
562561,939.0
563562,906.0
564563,943.0
565564,939.0
566565,945.0
567566,953.0
568567,478.0
569568,0.0
570569,733.0
571570,0.0
572571,41.0
573572,926.0
574573,950.0
575574,918.0
576575,264.0
577576,975.0
578577,982.0
579578,897.0
580579,620.0
581580,1.0
582581,0.0
583582,640.0
584583,796.0
585584,0.0
586585,862.0
587586,0.0
588587,935.0
589588,891.0
590589,0.0
591590,980.0
592591,35.0
593592,957.0
594593,544.0
595594,947.0
596595,516.0
597596,487.0
598597,968.0
599598,991.0
600599,343.0
601600,964.0
602601,878.0
603602,976.0
604603,0.0
605604,999.0
606605,205.0
607606,810.0
608607,773.0
609608,930.0
610609,860.0
611610,906.0
612611,0.0
613612,0.0
614613,397.0
615614,987.0
616615,968.0
617616,920.0
618617,62.0
619618,958.0
620619,0.0
621620,40.0
622621,0.0
623622,485.0
624623,916.0
625624,943.0
626625,898.0
627626,863.0
628627,845.0
629628,935.0
630629,857.0
631630,741.0
632631,927.0
633632,0.0
634633,920.0
635634,899.0
636635,854.0
637636,857.0
638637,996.0
639638,942.0
640639,21.0
641640,940.0
642641,948.0
643642,480.0
644643,0.0
645644,977.0
646645,899.0
647646,931.0
648647,957.0
649648,928.0
650649,28.0
651650,960.0
652651,933.0
653652,24.0
654653,987.0
655654,0.0
656655,0.0
657656,941.0
658657,953.0
659658,505.0
660659,919.0
661660,936.0
662661,919.0
663662,909.0
664663,901.0
665664,927.0
666665,958.0
667666,962.0
668667,687.0
669668,38.0
670669,847.0
671670,47.0
672671,776.0
673672,913.0
