timestep,episodic_return
1000,17.0
2001,130.0
3002,0.0
4003,64.0
5004,0.0
6005,80.0
7006,18.0
8007,205.0
9008,0.0
10009,223.0
11010,0.0
12011,0.0
13012,0.0
14013,64.0
15014,0.0
16015,0.0
17016,68.0
18017,0.0
19018,415.0
20019,0.0
21020,0.0
22021,17.0
23022,411.0
24023,85.0
25024,44.0
26025,285.0
27026,415.0
28027,738.0
29028,263.0
30029,55.0
31030,152.0
32031,0.0
33032,0.0
34033,140.0
35034,203.0
36035,211.0
37036,0.0
38037,211.0
39038,125.0
40039,504.0
41040,0.0
42041,151.0
43042,26.0
44043,0.0
45044,702.0
46045,647.0
47046,98.0
48047,597.0
49048,809.0
50049,14.0
51050,649.0
52051,0.0
53052,0.0
54053,46.0
55054,717.0
56055,0.0
57056,0.0
58057,0.0
59058,0.0
60059,0.0
61060,35.0
62061,872.0
63062,874.0
64063,0.0
65064,21.0
66065,529.0
67066,9.0
68067,0.0
69068,905.0
70069,0.0
71070,369.0
72071,0.0
73072,0.0
74073,57.0
75074,282.0
76075,91.0
77076,0.0
78077,945.0
79078,0.0
80079,7.0
81080,281.0
82081,122.0
83082,728.0
84083,10.0
85084,833.0
86085,741.0
87086,58.0
88087,771.0
89088,35.0
90089,894.0
91090,713.0
92091,905.0
93092,129.0
94093,28.0
95094,849.0
96095,892.0
97096,632.0
98097,0.0
99098,0.0
100099,0.0
101100,773.0
102101,723.0
103102,45.0
104103,964.0
105104,952.0
106105,75.0
107106,57.0
108107,0.0
109108,929.0
110109,853.0
111110,13.0
112111,945.0
113112,32.0
114113,0.0
115114,815.0
116115,174.0
117116,945.0
118117,895.0
119118,905.0
120119,979.0
121120,0.0
122121,789.0
123122,0.0
124123,0.0
125124,824.0
126125,582.0
127126,923.0
128127,15.0
129128,84.0
130129,0.0
131130,986.0
132131,836.0
133132,394.0
134133,971.0
135134,938.0
136135,0.0
137136,823.0
138137,0.0
139138,911.0
140139,965.0
141140,741.0
142141,0.0
143142,0.0
144143,512.0
145144,816.0
146145,911.0
147146,952.0
148147,0.0
149148,802.0
150149,783.0
151150,978.0
152151,840.0
153152,0.0
154153,938.0
155154,0.0
156155,494.0
157156,0.0
158157,0.0
159158,940.0
160159,0.0
161160,0.0
162161,0.0
163162,45.0
164163,906.0
165164,841.0
166165,950.0
167166,915.0
168167,179.0
169168,63.0
170169,183.0
171170,873.0
172171,909.0
173172,941.0
174173,903.0
175174,206.0
176175,407.0
177176,947.0
178177,796.0
179178,938.0
180179,858.0
181180,26.0
182181,943.0
183182,311.0
184183,933.0
185184,922.0
186185,0.0
187186,675.0
188187,0.0
189188,0.0
190189,0.0
191190,734.0
192191,598.0
193192,965.0
194193,878.0
195194,0.0
196195,0.0
197196,951.0
198197,0.0
199198,19.0
200199,0.0
201200,0.0
202201,43.0
203202,926.0
204203,929.0
205204,654.0
206205,912.0
207206,0.0
208207,109.0
209208,0.0
210209,0.0
211210,54.0
212211,859.0
213212,916.0
214213,0.0
215214,330.0
216215,0.0
217216,0.0
218217,482.0
219218,354.0
220219,767.0
221220,724.0
222221,458.0
223222,324.0
224223,781.0
225224,977.0
226225,869.0
227226,912.0
228227,852.0
229228,999.0
230229,0.0
231230,824.0
232231,934.0
233232,809.0
234233,0.0
235234,0.0
236235,0.0
237236,207.0
238237,68.0
239238,817.0
240239,50.0
241240,957.0
242241,0.0
243242,0.0
244243,444.0
245244,475.0
246245,854.0
247246,406.0
248247,978.0
249248,0.0
250249,0.0
251250,869.0
252251,799.0
253252,695.0
254253,956.0
255254,876.0
256255,0.0
257256,878.0
258257,962.0
259258,895.0
260259,926.0
261260,167.0
262261,951.0
263262,164.0
264263,933.0
265264,170.0
266265,658.0
267266,381.0
268267,785.0
269268,844.0
270269,0.0
271270,821.0
272271,640.0
273272,0.0
274273,0.0
275274,923.0
276275,870.0
277276,966.0
278277,594.0
279278,775.0
280279,907.0
281280,877.0
282281,0.0
283282,118.0
284283,838.0
285284,980.0
286285,0.0
287286,581.0
288287,906.0
289288,820.0
290289,0.0
291290,872.0
292291,0.0
293292,479.0
294293,932.0
295294,0.0
296295,774.0
297296,989.0
298297,934.0
299298,960.0
300299,3.0
301300,988.0
302301,18.0
303302,622.0
