timestep,episodic_return
1000,2.0
2001,26.0
3002,0.0
4003,0.0
5004,3.0
6005,21.0
7006,120.0
8007,99.0
9008,159.0
10009,75.0
11010,9.0
12011,18.0
13012,72.0
14013,95.0
15014,84.0
16015,116.0
17016,31.0
18017,0.0
19018,0.0
20019,237.0
21020,31.0
22021,0.0
23022,183.0
24023,15.0
25024,141.0
26025,61.0
27026,32.0
28027,0.0
29028,464.0
30029,0.0
31030,126.0
32031,66.0
33032,346.0
34033,111.0
35034,0.0
36035,0.0
37036,0.0
38037,250.0
39038,351.0
40039,0.0
41040,376.0
42041,0.0
43042,0.0
44043,0.0
45044,0.0
46045,29.0
47046,0.0
48047,243.0
49048,0.0
50049,96.0
51050,51.0
52051,35.0
53052,0.0
54053,128.0
55054,193.0
56055,0.0
57056,263.0
58057,10.0
59058,423.0
60059,219.0
61060,100.0
62061,12.0
63062,82.0
64063,0.0
65064,0.0
66065,346.0
67066,78.0
68067,2.0
69068,139.0
70069,0.0
71070,0.0
72071,162.0
73072,348.0
74073,21.0
75074,965.0
76075,296.0
77076,0.0
78077,0.0
79078,60.0
80079,2.0
81080,426.0
82081,0.0
83082,0.0
84083,433.0
85084,0.0
86085,0.0
87086,904.0
88087,27.0
89088,392.0
90089,842.0
91090,0.0
92091,0.0
93092,86.0
94093,55.0
95094,863.0
96095,800.0
97096,0.0
98097,0.0
99098,903.0
100099,240.0
101100,0.0
102101,0.0
103102,0.0
104103,478.0
105104,0.0
106105,0.0
107106,789.0
108107,929.0
109108,0.0
110109,355.0
111110,135.0
112111,881.0
113112,0.0
114113,0.0
115114,229.0
116115,425.0
117116,2.0
118117,0.0
119118,150.0
120119,852.0
121120,155.0
122121,0.0
123122,956.0
124123,257.0
125124,0.0
126125,770.0
127126,73.0
128127,866.0
129128,290.0
130129,643.0
131130,905.0
132131,959.0
133132,206.0
134133,868.0
135134,225.0
136135,119.0
137136,342.0
138137,979.0
139138,1.0
140139,0.0
141140,986.0
