timestep,episodic_return
999,111.0
2000,0.0
3001,0.0
4002,0.0
5003,412.0
6004,1.0
7005,89.0
8006,0.0
9007,0.0
10008,31.0
11009,0.0
12010,9.0
13011,0.0
14012,0.0
15013,120.0
16014,0.0
17015,943.0
18016,0.0
19017,18.0
20018,31.0
21019,795.0
22020,745.0
23021,795.0
24022,0.0
25023,865.0
26024,778.0
27025,962.0
28026,903.0
29027,17.0
30028,372.0
31029,778.0
32030,955.0
33031,987.0
34032,959.0
35033,203.0
36034,827.0
37035,979.0
38036,918.0
39037,968.0
40038,991.0
41039,0.0
42040,932.0
43041,966.0
44042,967.0
45043,11.0
46044,760.0
47045,949.0
48046,402.0
49047,992.0
50048,48.0
51049,976.0
52050,956.0
53051,928.0
54052,993.0
55053,938.0
56054,989.0
57055,951.0
58056,827.0
59057,982.0
60058,0.0
61059,431.0
62060,963.0
63061,970.0
64062,972.0
65063,964.0
66064,1000.0
67065,0.0
68066,982.0
69067,965.0
70068,968.0
71069,999.0
72070,948.0
73071,967.0
74072,985.0
75073,961.0
76074,923.0
77075,32.0
78076,72.0
79077,965.0
80078,946.0
81079,981.0
82080,866.0
83081,940.0
84082,843.0
85083,985.0
86084,223.0
87085,672.0
88086,994.0
89087,962.0
90088,984.0
91089,993.0
92090,1000.0
93091,953.0
94092,958.0
95093,946.0
96094,986.0
97095,947.0
98096,981.0
99097,980.0
100098,963.0
101099,973.0
102100,594.0
103101,983.0
104102,976.0
105103,917.0
106104,1000.0
107105,352.0
108106,974.0
109107,974.0
110108,963.0
111109,987.0
112110,977.0
113111,986.0
114112,967.0
115113,990.0
116114,0.0
117115,973.0
118116,949.0
119117,924.0
120118,968.0
121119,994.0
122120,969.0
123121,990.0
124122,965.0
125123,985.0
126124,983.0
127125,789.0
128126,974.0
129127,976.0
130128,953.0
131129,994.0
132130,1000.0
133131,971.0
134132,755.0
135133,948.0
136134,968.0
137135,975.0
138136,987.0
139137,994.0
140138,991.0
141139,987.0
142140,960.0
143141,966.0
144142,938.0
145143,972.0
146144,253.0
147145,976.0
148146,975.0
149147,958.0
150148,999.0
151149,965.0
152150,990.0
153151,972.0
154152,977.0
155153,991.0
156154,358.0
157155,204.0
158156,978.0
159157,970.0
160158,969.0
161159,945.0
162160,977.0
163161,977.0
164162,974.0
165163,978.0
166164,985.0
167165,974.0
168166,978.0
169167,988.0
170168,989.0
171169,996.0
172170,983.0
173171,974.0
174172,984.0
175173,984.0
176174,871.0
177175,970.0
178176,977.0
179177,915.0
180178,987.0
181179,987.0
182180,61.0
183181,975.0
184182,957.0
185183,975.0
186184,995.0
187185,971.0
188186,965.0
189187,982.0
190188,970.0
191189,946.0
192190,978.0
193191,967.0
194192,986.0
195193,879.0
196194,1000.0
197195,984.0
198196,996.0
199197,971.0
200198,812.0
201199,967.0
202200,983.0
203201,970.0
204202,978.0
205203,992.0
206204,991.0
207205,975.0
208206,977.0
209207,970.0
210208,988.0
211209,1000.0
212210,779.0
213211,993.0
214212,989.0
215213,983.0
216214,982.0
217215,943.0
218216,965.0
219217,977.0
220218,967.0
221219,968.0
222220,987.0
223221,961.0
224222,959.0
225223,971.0
226224,958.0
227225,644.0
228226,953.0
229227,983.0
230228,965.0
231229,990.0
232230,968.0
233231,981.0
234232,961.0
235233,958.0
236234,1000.0
237235,926.0
238236,924.0
239237,968.0
240238,959.0
241239,973.0
242240,964.0
243241,901.0
244242,960.0
245243,979.0
246244,986.0
247245,992.0
248246,965.0
249247,982.0
250248,960.0
251249,995.0
252250,973.0
253251,1000.0
254252,974.0
255253,977.0
256254,988.0
257255,961.0
258256,968.0
259257,981.0
260258,991.0
261259,890.0
262260,1000.0
263261,980.0
264262,978.0
265263,814.0
266264,988.0
267265,966.0
268266,957.0
269267,976.0
270268,970.0
271269,967.0
272270,924.0
273271,992.0
274272,957.0
275273,974.0
276274,993.0
277275,960.0
278276,977.0
279277,966.0
280278,970.0
281279,976.0
282280,984.0
283281,970.0
284282,986.0
285283,966.0
286284,992.0
287285,976.0
288286,997.0
289287,986.0
290288,979.0
291289,971.0
292290,993.0
293291,816.0
294292,961.0
295293,982.0
296294,994.0
297295,966.0
298296,961.0
299297,973.0
300298,961.0
301299,994.0
302300,977.0
303301,1000.0
304302,999.0
305303,989.0
306304,1000.0
307305,970.0
308306,963.0
309307,957.0
310308,986.0
311309,978.0
312310,958.0
313311,959.0
314312,948.0
315313,920.0
316314,993.0
317315,979.0
318316,983.0
319317,982.0
320318,936.0
321319,974.0
322320,898.0
323321,986.0
324322,989.0
325323,974.0
326324,981.0
327325,1000.0
328326,970.0
329327,992.0
330328,972.0
331329,989.0
332330,958.0
333331,961.0
334332,988.0
335333,963.0
336334,989.0
337335,972.0
338336,991.0
339337,977.0
340338,980.0
341339,977.0
342340,980.0
343341,990.0
344342,964.0
345343,975.0
346344,956.0
347345,996.0
348346,946.0
349347,912.0
350348,968.0
351349,987.0
352350,978.0
353351,963.0
354352,984.0
355353,978.0
356354,986.0
357355,957.0
358356,987.0
359357,971.0
360358,965.0
361359,52.0
362360,990.0
363361,992.0
364362,948.0
365363,972.0
366364,1000.0
367365,968.0
368366,987.0
369367,999.0
370368,993.0
371369,985.0
372370,974.0
373371,971.0
374372,988.0
375373,951.0
376374,978.0
377375,968.0
378376,972.0
379377,985.0
380378,997.0
381379,973.0
382380,991.0
383381,959.0
384382,980.0
385383,968.0
386384,993.0
387385,972.0
388386,968.0
389387,970.0
390388,976.0
391389,990.0
392390,965.0
393391,973.0
394392,946.0
