timestep,episodic_return
1000,0.0
2001,6.0
3002,0.0
4003,0.0
5004,0.0
6005,0.0
7006,0.0
8007,0.0
9008,0.0
10009,0.0
11010,0.0
12011,0.0
13012,0.0
14013,0.0
15014,0.0
16015,0.0
17016,0.0
18017,0.0
19018,0.0
20019,0.0
21020,0.0
22021,0.0
23022,0.0
24023,0.0
25024,0.0
26025,0.0
27026,0.0
28027,0.0
29028,0.0
30029,0.0
31030,0.0
32031,0.0
33032,0.0
34033,0.0
35034,0.0
36035,0.0
37036,48.0
38037,0.0
39038,13.0
40039,9.0
41040,0.0
42041,0.0
43042,0.0
44043,0.0
45044,0.0
46045,0.0
47046,0.0
48047,0.0
49048,0.0
50049,0.0
51050,0.0
52051,0.0
53052,0.0
54053,0.0
55054,0.0
56055,0.0
57056,0.0
58057,0.0
59058,0.0
60059,0.0
61060,0.0
62061,0.0
63062,0.0
64063,0.0
65064,0.0
66065,0.0
67066,0.0
68067,0.0
69068,0.0
70069,0.0
71070,0.0
72071,0.0
73072,0.0
74073,0.0
75074,0.0
76075,0.0
77076,0.0
78077,0.0
79078,0.0
80079,12.0
81080,0.0
82081,0.0
83082,9.0
84083,0.0
85084,0.0
86085,0.0
87086,0.0
88087,0.0
89088,0.0
90089,0.0
91090,0.0
92091,0.0
93092,10.0
94093,0.0
95094,0.0
96095,0.0
97096,0.0
98097,0.0
99098,0.0
100099,0.0
101100,0.0
102101,0.0
103102,0.0
104103,0.0
105104,0.0
106105,0.0
107106,0.0
108107,0.0
109108,0.0
110109,0.0
111110,0.0
112111,0.0
113112,0.0
114113,0.0
115114,0.0
116115,0.0
117116,0.0
118117,0.0
119118,0.0
120119,57.0
121120,0.0
122121,0.0
123122,0.0
124123,0.0
125124,0.0
126125,0.0
127126,0.0
128127,0.0
129128,0.0
130129,0.0
131130,0.0
132131,0.0
133132,0.0
134133,0.0
135134,0.0
136135,0.0
137136,0.0
138137,0.0
139138,0.0
140139,0.0
141140,0.0
142141,36.0
143142,0.0
144143,0.0
145144,0.0
146145,0.0
147146,0.0
148147,17.0
149148,0.0
150149,0.0
151150,0.0
152151,0.0
153152,0.0
154153,0.0
155154,0.0
156155,0.0
157156,0.0
158157,0.0
159158,0.0
160159,0.0
161160,0.0
162161,0.0
163162,0.0
164163,0.0
165164,15.0
166165,0.0
167166,13.0
168167,0.0
169168,0.0
170169,0.0
171170,0.0
172171,10.0
173172,0.0
174173,0.0
175174,0.0
176175,0.0
177176,0.0
178177,0.0
179178,0.0
180179,0.0
181180,0.0
182181,0.0
183182,0.0
184183,0.0
185184,0.0
186185,0.0
187186,0.0
188187,0.0
189188,0.0
190189,0.0
191190,0.0
192191,0.0
193192,0.0
194193,0.0
195194,0.0
196195,0.0
197196,0.0
198197,51.0
199198,0.0
200199,0.0
201200,0.0
202201,0.0
203202,0.0
204203,0.0
205204,0.0
206205,0.0
207206,0.0
208207,0.0
209208,0.0
210209,0.0
211210,0.0
212211,0.0
213212,0.0
214213,54.0
215214,0.0
216215,0.0
217216,0.0
218217,0.0
219218,0.0
220219,57.0
221220,0.0
222221,0.0
223222,0.0
224223,75.0
225224,0.0
226225,61.0
227226,48.0
228227,0.0
229228,0.0
230229,61.0
231230,18.0
232231,33.0
233232,53.0
234233,13.0
235234,51.0
236235,57.0
237236,53.0
238237,24.0
239238,61.0
240239,15.0
241240,51.0
242241,57.0
243242,32.0
244243,48.0
245244,16.0
246245,37.0
247246,25.0
248247,59.0
249248,39.0
250249,41.0
251250,19.0
252251,59.0
253252,0.0
254253,34.0
255254,0.0
256255,0.0
257256,0.0
258257,69.0
259258,56.0
260259,47.0
261260,61.0
262261,58.0
263262,56.0
264263,60.0
265264,0.0
266265,0.0
267266,0.0
268267,0.0
269268,57.0
270269,0.0
271270,0.0
272271,0.0
273272,0.0
274273,0.0
275274,0.0
276275,0.0
277276,0.0
278277,0.0
279278,32.0
280279,69.0
281280,48.0
282281,0.0
283282,0.0
284283,66.0
285284,18.0
286285,17.0
287286,0.0
288287,25.0
289288,0.0
290289,59.0
291290,16.0
292291,7.0
293292,69.0
294293,60.0
295294,16.0
296295,63.0
297296,11.0
298297,19.0
299298,43.0
300299,59.0
301300,33.0
302301,50.0
303302,47.0
304303,56.0
305304,54.0
306305,60.0
307306,46.0
308307,30.0
309308,37.0
310309,54.0
311310,41.0
312311,62.0
313312,31.0
314313,26.0
315314,33.0
316315,28.0
317316,30.0
318317,40.0
319318,50.0
320319,37.0
321320,60.0
322321,53.0
323322,59.0
324323,67.0
325324,41.0
326325,48.0
327326,77.0
328327,60.0
329328,61.0
330329,54.0
331330,60.0
332331,60.0
333332,62.0
334333,62.0
335334,64.0
336335,58.0
337336,28.0
338337,34.0
339338,26.0
340339,68.0
341340,73.0
342341,67.0
343342,67.0
344343,65.0
345344,47.0
346345,53.0
347346,65.0
348347,73.0
349348,68.0
350349,73.0
351350,69.0
352351,65.0
353352,52.0
354353,59.0
355354,67.0
356355,60.0
357356,114.0
358357,17.0
359358,29.0
360359,82.0
361360,21.0
362361,81.0
363362,0.0
364363,0.0
365364,35.0
366365,72.0
367366,0.0
368367,118.0
369368,136.0
370369,63.0
371370,89.0
372371,116.0
373372,226.0
374373,220.0
375374,62.0
376375,218.0
377376,149.0
378377,145.0
379378,104.0
380379,162.0
381380,18.0
382381,113.0
383382,62.0
384383,43.0
385384,49.0
386385,145.0
387386,141.0
388387,62.0
389388,50.0
390389,106.0
391390,92.0
392391,135.0
393392,73.0
394393,92.0
395394,95.0
396395,188.0
397396,76.0
398397,137.0
399398,181.0
400399,790.0
401400,475.0
402401,125.0
403402,781.0
404403,148.0
405404,507.0
406405,144.0
407406,90.0
408407,47.0
409408,141.0
410409,259.0
411410,98.0
412411,339.0
413412,92.0
414413,710.0
415414,69.0
416415,687.0
417416,870.0
418417,712.0
419418,787.0
420419,34.0
421420,82.0
422421,358.0
423422,589.0
424423,774.0
425424,55.0
426425,805.0
427426,127.0
428427,81.0
429428,417.0
430429,128.0
431430,841.0
432431,734.0
433432,917.0
434433,841.0
435434,453.0
436435,787.0
437436,660.0
438437,604.0
439438,586.0
440439,583.0
441440,937.0
442441,728.0
443442,816.0
444443,541.0
445444,59.0
446445,638.0
447446,937.0
448447,815.0
449448,448.0
450449,743.0
451450,671.0
452451,567.0
453452,497.0
454453,40.0
455454,657.0
456455,66.0
457456,560.0
458457,786.0
459458,1000.0
460459,100.0
461460,744.0
462461,364.0
463462,643.0
464463,875.0
465464,268.0
466465,534.0
467466,44.0
468467,298.0
469468,623.0
470469,281.0
471470,672.0
472471,330.0
473472,755.0
474473,927.0
475474,541.0
476475,837.0
477476,800.0
478477,626.0
479478,531.0
480479,730.0
481480,524.0
482481,519.0
483482,178.0
484483,695.0
485484,469.0
486485,624.0
487486,936.0
488487,737.0
489488,932.0
490489,555.0
491490,930.0
492491,168.0
493492,737.0
494493,921.0
495494,794.0
496495,523.0
497496,439.0
498497,721.0
499498,934.0
500499,759.0
501500,578.0
502501,584.0
503502,539.0
504503,848.0
505504,761.0
506505,867.0
507506,820.0
508507,872.0
509508,674.0
510509,613.0
511510,866.0
512511,656.0
513512,922.0
514513,44.0
515514,667.0
516515,747.0
517516,750.0
518517,825.0
519518,688.0
520519,824.0
521520,718.0
522521,60.0
523522,53.0
524523,645.0
525524,1000.0
526525,67.0
527526,42.0
528527,937.0
529528,54.0
530529,937.0
531530,475.0
532531,762.0
533532,492.0
534533,771.0
535534,47.0
536535,560.0
537536,808.0
538537,836.0
539538,67.0
540539,778.0
541540,727.0
542541,875.0
543542,709.0
544543,469.0
545544,793.0
546545,936.0
547546,636.0
548547,864.0
549548,670.0
550549,58.0
551550,843.0
552551,941.0
553552,644.0
554553,883.0
555554,830.0
556555,814.0
557556,63.0
558557,423.0
559558,45.0
560559,658.0
561560,937.0
562561,935.0
563562,565.0
564563,1000.0
565564,669.0
566565,770.0
567566,717.0
568567,394.0
569568,494.0
570569,935.0
571570,494.0
572571,630.0
573572,39.0
574573,41.0
575574,818.0
576575,929.0
577576,888.0
578577,397.0
579578,1000.0
580579,836.0
581580,57.0
582581,168.0
583582,595.0
584583,933.0
585584,46.0
586585,614.0
587586,44.0
588587,622.0
589588,930.0
590589,1000.0
591590,63.0
592591,36.0
593592,520.0
594593,1000.0
595594,755.0
596595,52.0
597596,884.0
598597,39.0
599598,44.0
600599,688.0
601600,549.0
602601,64.0
603602,888.0
604603,371.0
605604,585.0
606605,68.0
607606,52.0
608607,803.0
609608,68.0
610609,1000.0
611610,792.0
612611,804.0
613612,762.0
614613,45.0
615614,837.0
616615,576.0
617616,77.0
618617,662.0
619618,537.0
620619,887.0
621620,685.0
622621,65.0
623622,785.0
624623,116.0
625624,583.0
626625,657.0
627626,895.0
628627,942.0
629628,443.0
630629,915.0
631630,681.0
632631,911.0
633632,53.0
634633,72.0
635634,781.0
636635,511.0
637636,57.0
638637,669.0
639638,749.0
640639,522.0
641640,649.0
642641,796.0
643642,49.0
644643,607.0
645644,660.0
646645,116.0
647646,996.0
648647,726.0
649648,633.0
650649,664.0
651650,933.0
652651,923.0
653652,529.0
654653,660.0
655654,894.0
656655,982.0
657656,592.0
658657,615.0
659658,924.0
660659,1000.0
661660,531.0
662661,937.0
663662,877.0
664663,726.0
665664,874.0
666665,705.0
667666,723.0
668667,48.0
669668,648.0
670669,621.0
671670,830.0
672671,701.0
673672,710.0
674673,534.0
675674,478.0
676675,65.0
677676,717.0
678677,790.0
679678,883.0
680679,836.0
681680,495.0
682681,828.0
683682,833.0
684683,855.0
685684,758.0
686685,529.0
687686,834.0
688687,60.0
689688,898.0
690689,939.0
691690,63.0
692691,830.0
693692,60.0
694693,624.0
695694,45.0
696695,58.0
697696,701.0
698697,42.0
699698,69.0
700699,42.0
701700,41.0
702701,654.0
703702,943.0
704703,83.0
705704,50.0
706705,56.0
707706,59.0
708707,627.0
709708,57.0
710709,1000.0
711710,1000.0
712711,804.0
713712,795.0
714713,719.0
715714,42.0
716715,993.0
717716,593.0
718717,994.0
719718,881.0
720719,463.0
721720,65.0
722721,680.0
723722,711.0
724723,466.0
725724,1000.0
726725,440.0
727726,650.0
728727,668.0
729728,537.0
730729,674.0
731730,505.0
732731,541.0
733732,675.0
734733,929.0
735734,854.0
736735,844.0
737736,938.0
738737,39.0
739738,56.0
740739,62.0
741740,82.0
742741,705.0
743742,731.0
744743,940.0
745744,658.0
746745,1000.0
747746,61.0
748747,59.0
749748,690.0
750749,824.0
751750,793.0
752751,936.0
753752,815.0
754753,881.0
755754,547.0
756755,517.0
757756,655.0
758757,663.0
759758,887.0
760759,62.0
761760,53.0
762761,62.0
763762,59.0
764763,939.0
765764,691.0
766765,806.0
767766,845.0
768767,593.0
769768,609.0
770769,474.0
771770,926.0
772771,886.0
773772,49.0
774773,53.0
775774,648.0
776775,627.0
777776,938.0
778777,924.0
779778,502.0
780779,787.0
781780,936.0
782781,44.0
783782,65.0
784783,804.0
785784,1000.0
786785,937.0
787786,830.0
788787,940.0
789788,512.0
790789,644.0
791790,935.0
792791,698.0
793792,624.0
794793,398.0
795794,53.0
796795,933.0
797796,747.0
798797,726.0
799798,759.0
800799,827.0
801800,565.0
802801,227.0
803802,501.0
804803,488.0
805804,565.0
