timestep,episodic_return
1000,0.0
2001,0.0
3002,73.0
4003,62.0
5004,0.0
6005,43.0
7006,152.0
8007,485.0
9008,70.0
10009,0.0
11010,284.0
12011,130.0
13012,0.0
14013,102.0
15014,158.0
16015,297.0
17016,267.0
18017,833.0
19018,50.0
20019,0.0
21020,796.0
22021,212.0
23022,0.0
24023,98.0
25024,0.0
26025,833.0
27026,0.0
28027,722.0
29028,424.0
30029,0.0
31030,727.0
32031,0.0
33032,52.0
34033,0.0
35034,84.0
36035,730.0
37036,955.0
38037,0.0
39038,825.0
40039,107.0
41040,0.0
42041,779.0
43042,947.0
44043,915.0
45044,0.0
46045,55.0
47046,0.0
48047,676.0
49048,851.0
50049,785.0
51050,966.0
52051,11.0
53052,0.0
54053,977.0
55054,227.0
56055,964.0
57056,0.0
58057,247.0
59058,0.0
60059,917.0
61060,942.0
62061,506.0
63062,828.0
64063,754.0
65064,825.0
66065,0.0
67066,933.0
68067,967.0
69068,999.0
70069,962.0
71070,989.0
72071,949.0
73072,0.0
74073,982.0
75074,995.0
76075,0.0
77076,971.0
78077,959.0
79078,965.0
80079,981.0
81080,0.0
82081,973.0
83082,859.0
84083,0.0
85084,0.0
86085,242.0
87086,288.0
88087,967.0
89088,395.0
90089,0.0
91090,648.0
92091,1.0
93092,0.0
94093,962.0
95094,791.0
96095,881.0
97096,894.0
98097,425.0
99098,31.0
100099,972.0
101100,0.0
102101,896.0
103102,973.0
104103,667.0
105104,953.0
106105,956.0
107106,0.0
108107,0.0
109108,424.0
110109,877.0
111110,982.0
112111,979.0
113112,0.0
114113,0.0
115114,0.0
116115,934.0
117116,687.0
118117,903.0
119118,902.0
120119,0.0
121120,960.0
122121,937.0
123122,19.0
124123,980.0
125124,967.0
126125,463.0
127126,838.0
128127,953.0
129128,0.0
130129,870.0
131130,916.0
132131,934.0
133132,935.0
134133,973.0
135134,75.0
136135,809.0
137136,139.0
138137,978.0
139138,11.0
140139,977.0
141140,0.0
142141,929.0
143142,55.0
144143,2.0
145144,0.0
146145,0.0
147146,530.0
148147,0.0
149148,2.0
150149,950.0
151150,693.0
152151,978.0
153152,943.0
154153,0.0
155154,0.0
156155,175.0
157156,322.0
158157,491.0
159158,0.0
160159,107.0
161160,25.0
162161,832.0
163162,977.0
164163,0.0
165164,0.0
166165,904.0
167166,0.0
168167,73.0
169168,18.0
170169,676.0
171170,908.0
172171,808.0
173172,24.0
174173,954.0
175174,0.0
176175,866.0
177176,110.0
178177,0.0
179178,940.0
180179,351.0
181180,989.0
182181,251.0
183182,872.0
184183,60.0
185184,916.0
186185,901.0
187186,0.0
188187,943.0
189188,0.0
190189,116.0
191190,0.0
192191,0.0
193192,0.0
194193,0.0
195194,0.0
196195,40.0
197196,0.0
198197,817.0
199198,964.0
200199,976.0
201200,845.0
202201,0.0
203202,766.0
204203,869.0
205204,0.0
206205,1000.0
207206,0.0
208207,10.0
209208,945.0
210209,383.0
211210,0.0
212211,0.0
213212,890.0
214213,0.0
215214,956.0
216215,769.0
217216,951.0
218217,50.0
219218,974.0
220219,0.0
221220,0.0
222221,962.0
223222,0.0
224223,0.0
225224,697.0
226225,848.0
227226,0.0
228227,886.0
229228,913.0
230229,0.0
231230,351.0
232231,943.0
233232,0.0
234233,918.0
235234,0.0
236235,0.0
237236,853.0
238237,183.0
239238,19.0
240239,0.0
241240,974.0
242241,0.0
243242,856.0
244243,172.0
245244,929.0
246245,0.0
247246,979.0
248247,928.0
249248,986.0
250249,176.0
251250,28.0
252251,0.0
253252,943.0
254253,936.0
255254,861.0
256255,0.0
257256,945.0
258257,894.0
259258,427.0
260259,932.0
261260,0.0
262261,66.0
263262,939.0
264263,987.0
265264,93.0
266265,17.0
267266,886.0
268267,242.0
269268,820.0
270269,652.0
271270,704.0
272271,53.0
273272,778.0
274273,913.0
275274,0.0
276275,909.0
277276,983.0
278277,946.0
279278,903.0
280279,744.0
281280,61.0
282281,17.0
283282,0.0
284283,948.0
285284,941.0
286285,889.0
287286,0.0
288287,944.0
289288,0.0
290289,0.0
291290,0.0
292291,950.0
293292,0.0
294293,0.0
295294,162.0
296295,0.0
297296,940.0
298297,933.0
299298,1.0
300299,2.0
301300,889.0
302301,572.0
303302,0.0
304303,710.0
305304,896.0
306305,0.0
307306,0.0
308307,0.0
309308,0.0
310309,0.0
311310,856.0
312311,984.0
313312,0.0
314313,941.0
315314,971.0
316315,947.0
317316,0.0
318317,0.0
319318,943.0
320319,0.0
321320,28.0
322321,39.0
323322,0.0
324323,0.0
325324,62.0
326325,0.0
327326,918.0
328327,0.0
329328,281.0
330329,946.0
331330,890.0
332331,941.0
333332,0.0
334333,979.0
335334,55.0
336335,981.0
337336,968.0
338337,973.0
339338,982.0
340339,0.0
341340,976.0
342341,970.0
343342,936.0
344343,1000.0
345344,0.0
346345,0.0
347346,15.0
348347,50.0
349348,557.0
350349,986.0
351350,907.0
352351,964.0
353352,991.0
354353,955.0
355354,0.0
356355,944.0
357356,980.0
358357,27.0
359358,281.0
360359,693.0
361360,0.0
362361,972.0
363362,904.0
364363,962.0
365364,947.0
366365,879.0
367366,0.0
368367,0.0
369368,473.0
370369,924.0
371370,570.0
372371,543.0
373372,944.0
374373,58.0
375374,923.0
376375,1.0
377376,987.0
378377,0.0
379378,1.0
380379,771.0
381380,0.0
382381,788.0
383382,944.0
384383,900.0
385384,0.0
386385,902.0
387386,0.0
388387,944.0
389388,37.0
390389,1000.0
391390,65.0
392391,0.0
393392,0.0
394393,0.0
395394,961.0
396395,984.0
397396,0.0
398397,199.0
399398,65.0
400399,963.0
401400,992.0
402401,943.0
403402,0.0
404403,853.0
405404,787.0
406405,4.0
407406,0.0
408407,939.0
409408,962.0
410409,0.0
411410,41.0
412411,636.0
413412,942.0
414413,0.0
415414,951.0
416415,182.0
417416,932.0
418417,997.0
419418,926.0
420419,245.0
421420,979.0
422421,0.0
423422,930.0
424423,347.0
425424,948.0
426425,946.0
427426,790.0
428427,0.0
429428,29.0
430429,869.0
431430,0.0
432431,0.0
433432,649.0
434433,814.0
435434,944.0
436435,881.0
437436,980.0
438437,855.0
439438,995.0
440439,915.0
441440,898.0
442441,34.0
443442,913.0
444443,0.0
445444,934.0
446445,983.0
447446,958.0
448447,813.0
449448,838.0
450449,0.0
451450,81.0
452451,3.0
453452,929.0
454453,0.0
455454,653.0
456455,961.0
457456,0.0
458457,142.0
459458,714.0
460459,0.0
461460,898.0
462461,946.0
463462,946.0
464463,952.0
465464,36.0
466465,0.0
467466,976.0
468467,74.0
469468,0.0
470469,880.0
471470,0.0
472471,930.0
473472,0.0
474473,0.0
475474,979.0
476475,591.0
477476,942.0
478477,342.0
479478,954.0
480479,929.0
481480,934.0
482481,651.0
483482,0.0
484483,897.0
485484,973.0
486485,947.0
487486,787.0
488487,0.0
489488,0.0
490489,0.0
491490,0.0
492491,930.0
493492,0.0
494493,0.0
495494,956.0
496495,987.0
497496,598.0
498497,0.0
499498,793.0
500499,0.0
501500,6.0
502501,857.0
503502,876.0
504503,675.0
505504,878.0
506505,973.0
507506,945.0
508507,0.0
509508,960.0
510509,925.0
511510,855.0
512511,0.0
513512,29.0
514513,975.0
515514,176.0
516515,956.0
517516,499.0
518517,896.0
519518,932.0
520519,990.0
521520,1000.0
522521,0.0
523522,0.0
524523,962.0
525524,997.0
526525,594.0
527526,708.0
528527,933.0
529528,0.0
530529,0.0
531530,41.0
532531,0.0
533532,0.0
534533,921.0
535534,0.0
536535,0.0
537536,905.0
538537,0.0
539538,0.0
540539,814.0
541540,929.0
542541,0.0
543542,54.0
544543,0.0
545544,0.0
546545,1000.0
547546,125.0
548547,0.0
549548,0.0
550549,5.0
551550,0.0
552551,265.0
553552,930.0
554553,0.0
555554,607.0
556555,959.0
557556,830.0
558557,888.0
559558,898.0
560559,946.0
561560,13.0
562561,840.0
563562,943.0
564563,0.0
565564,0.0
566565,905.0
567566,63.0
568567,349.0
569568,933.0
570569,972.0
571570,775.0
572571,0.0
573572,6.0
574573,860.0
575574,981.0
576575,976.0
577576,0.0
578577,958.0
579578,363.0
580579,220.0
581580,931.0
582581,900.0
583582,3.0
584583,0.0
585584,0.0
586585,929.0
587586,942.0
588587,954.0
589588,906.0
590589,861.0
591590,968.0
592591,882.0
593592,683.0
594593,752.0
595594,976.0
596595,905.0
597596,0.0
598597,199.0
599598,961.0
600599,0.0
601600,479.0
602601,0.0
603602,0.0
604603,963.0
605604,47.0
606605,5.0
607606,0.0
608607,971.0
609608,68.0
610609,879.0
611610,0.0
612611,963.0
613612,573.0
614613,927.0
615614,0.0
616615,163.0
617616,996.0
618617,941.0
619618,976.0
620619,939.0
621620,0.0
622621,984.0
623622,1.0
624623,949.0
625624,942.0
626625,981.0
627626,0.0
628627,984.0
629628,953.0
630629,933.0
631630,968.0
632631,928.0
633632,947.0
634633,743.0
635634,916.0
636635,973.0
637636,0.0
638637,0.0
639638,893.0
640639,978.0
641640,913.0
642641,962.0
643642,0.0
644643,939.0
645644,0.0
646645,0.0
647646,881.0
648647,0.0
649648,0.0
650649,795.0
651650,872.0
652651,0.0
653652,780.0
654653,29.0
655654,904.0
656655,588.0
657656,863.0
658657,1000.0
659658,967.0
660659,842.0
661660,905.0
662661,976.0
663662,963.0
664663,951.0
665664,0.0
666665,145.0
667666,483.0
668667,190.0
669668,952.0
670669,0.0
671670,715.0
672671,0.0
