timestep,episodic_return
999,55.0
2000,0.0
3001,0.0
4002,0.0
5003,57.0
6004,5.0
7005,0.0
8006,39.0
9007,0.0
10008,46.0
11009,0.0
12010,0.0
13011,845.0
14012,18.0
15013,0.0
16014,0.0
17015,522.0
18016,0.0
19017,0.0
20018,0.0
21019,0.0
22020,0.0
23021,662.0
24022,941.0
25023,0.0
26024,18.0
27025,0.0
28026,0.0
29027,971.0
30028,0.0
31029,0.0
32030,4.0
33031,122.0
34032,431.0
35033,792.0
36034,0.0
37035,755.0
38036,6.0
39037,63.0
40038,0.0
41039,54.0
42040,58.0
43041,430.0
44042,0.0
45043,0.0
46044,0.0
47045,121.0
48046,248.0
49047,0.0
50048,5.0
51049,18.0
52050,12.0
53051,0.0
54052,747.0
55053,21.0
56054,862.0
57055,978.0
58056,869.0
59057,0.0
60058,0.0
61059,980.0
62060,156.0
63061,396.0
64062,750.0
65063,46.0
66064,964.0
67065,928.0
68066,188.0
69067,969.0
70068,0.0
71069,963.0
72070,27.0
73071,986.0
74072,212.0
75073,973.0
76074,976.0
77075,957.0
78076,270.0
79077,443.0
80078,404.0
81079,958.0
82080,922.0
83081,964.0
84082,652.0
85083,947.0
86084,23.0
87085,825.0
88086,0.0
89087,1000.0
90088,978.0
91089,912.0
92090,960.0
93091,966.0
94092,174.0
95093,951.0
96094,225.0
97095,984.0
98096,986.0
99097,938.0
100098,970.0
101099,0.0
102100,852.0
103101,955.0
104102,0.0
105103,88.0
106104,851.0
107105,965.0
108106,0.0
109107,0.0
110108,948.0
111109,968.0
112110,976.0
113111,966.0
114112,951.0
115113,978.0
116114,979.0
117115,975.0
118116,284.0
119117,946.0
120118,876.0
121119,892.0
122120,988.0
123121,773.0
124122,981.0
125123,23.0
126124,0.0
127125,671.0
128126,954.0
129127,990.0
130128,990.0
131129,990.0
132130,996.0
133131,971.0
134132,946.0
135133,388.0
136134,522.0
137135,902.0
138136,974.0
139137,937.0
140138,984.0
141139,995.0
142140,997.0
143141,1000.0
144142,962.0
145143,1000.0
146144,961.0
147145,963.0
148146,976.0
149147,873.0
150148,128.0
151149,979.0
152150,947.0
153151,990.0
154152,982.0
155153,955.0
156154,992.0
157155,988.0
158156,971.0
159157,997.0
160158,962.0
161159,966.0
162160,973.0
163161,1000.0
164162,985.0
165163,878.0
166164,967.0
167165,975.0
168166,958.0
169167,917.0
170168,1000.0
171169,965.0
172170,979.0
173171,949.0
174172,982.0
175173,957.0
176174,980.0
177175,846.0
178176,1000.0
179177,78.0
180178,961.0
181179,995.0
182180,979.0
183181,983.0
184182,948.0
185183,937.0
186184,979.0
187185,42.0
188186,956.0
189187,992.0
190188,983.0
191189,996.0
192190,987.0
193191,967.0
194192,982.0
195193,983.0
196194,1000.0
197195,946.0
198196,981.0
199197,974.0
200198,972.0
201199,822.0
202200,914.0
203201,953.0
204202,981.0
205203,962.0
206204,981.0
207205,992.0
208206,926.0
209207,998.0
210208,938.0
211209,922.0
212210,898.0
213211,1000.0
214212,926.0
215213,990.0
216214,0.0
217215,959.0
218216,968.0
219217,546.0
220218,980.0
221219,996.0
222220,708.0
223221,1000.0
224222,982.0
225223,956.0
226224,353.0
227225,957.0
228226,962.0
229227,982.0
230228,971.0
231229,987.0
232230,991.0
233231,977.0
234232,983.0
235233,983.0
236234,959.0
237235,1000.0
238236,950.0
239237,975.0
240238,968.0
241239,970.0
242240,976.0
243241,966.0
244242,92.0
245243,953.0
246244,993.0
247245,993.0
248246,988.0
249247,996.0
250248,974.0
251249,967.0
252250,950.0
253251,975.0
254252,967.0
255253,971.0
256254,991.0
257255,973.0
258256,984.0
259257,957.0
260258,965.0
261259,931.0
262260,977.0
263261,992.0
264262,965.0
265263,964.0
266264,48.0
267265,943.0
268266,969.0
269267,987.0
270268,990.0
271269,992.0
272270,988.0
273271,950.0
274272,983.0
275273,977.0
276274,952.0
277275,960.0
278276,844.0
279277,1000.0
280278,989.0
281279,274.0
282280,997.0
283281,976.0
284282,972.0
285283,1000.0
286284,992.0
287285,979.0
288286,989.0
289287,1000.0
290288,973.0
291289,991.0
292290,979.0
293291,929.0
294292,976.0
295293,983.0
296294,963.0
297295,943.0
298296,753.0
299297,814.0
300298,997.0
301299,999.0
302300,964.0
303301,0.0
304302,977.0
305303,987.0
306304,961.0
307305,0.0
308306,850.0
309307,974.0
310308,977.0
311309,989.0
312310,984.0
313311,956.0
314312,955.0
315313,995.0
316314,965.0
317315,973.0
318316,969.0
319317,987.0
320318,999.0
321319,1000.0
322320,984.0
323321,990.0
324322,1000.0
325323,393.0
326324,958.0
327325,973.0
328326,989.0
329327,973.0
330328,977.0
331329,788.0
332330,976.0
333331,0.0
334332,969.0
335333,968.0
336334,981.0
337335,971.0
338336,979.0
339337,975.0
340338,963.0
341339,992.0
342340,953.0
343341,1000.0
344342,972.0
345343,973.0
346344,975.0
347345,981.0
348346,986.0
349347,984.0
350348,948.0
351349,990.0
352350,975.0
353351,985.0
354352,1000.0
355353,867.0
356354,984.0
357355,984.0
358356,959.0
359357,968.0
360358,989.0
361359,982.0
362360,976.0
363361,979.0
364362,1000.0
365363,945.0
366364,971.0
367365,974.0
368366,997.0
369367,1000.0
370368,993.0
371369,983.0
372370,977.0
373371,960.0
374372,987.0
375373,959.0
376374,970.0
377375,990.0
378376,959.0
379377,996.0
380378,875.0
381379,834.0
382380,977.0
383381,934.0
384382,991.0
385383,992.0
386384,962.0
387385,983.0
388386,991.0
389387,997.0
390388,974.0
391389,976.0
392390,975.0
393391,986.0
394392,964.0
395393,955.0
396394,999.0
397395,982.0
398396,989.0
399397,946.0
400398,42.0
401399,990.0
402400,970.0
403401,990.0
404402,972.0
405403,970.0
406404,989.0
407405,984.0
408406,978.0
409407,1000.0
410408,922.0
411409,969.0
412410,862.0
413411,981.0
414412,996.0
415413,969.0
416414,970.0
417415,989.0
418416,1000.0
419417,958.0
420418,983.0
421419,965.0
422420,987.0
423421,989.0
424422,976.0
425423,988.0
426424,988.0
427425,993.0
428426,970.0
429427,969.0
430428,972.0
431429,995.0
432430,996.0
433431,989.0
434432,991.0
435433,969.0
436434,973.0
437435,991.0
438436,972.0
439437,980.0
440438,979.0
441439,984.0
442440,989.0
443441,962.0
444442,969.0
445443,977.0
446444,979.0
447445,981.0
448446,1000.0
449447,978.0
450448,1000.0
451449,883.0
452450,971.0
453451,991.0
454452,1000.0
455453,978.0
456454,961.0
457455,996.0
458456,965.0
459457,992.0
460458,962.0
461459,945.0
462460,966.0
463461,995.0
464462,977.0
465463,991.0
466464,965.0
467465,965.0
468466,991.0
469467,994.0
470468,986.0
471469,17.0
472470,1000.0
473471,579.0
474472,1000.0
475473,982.0
476474,971.0
477475,979.0
478476,1000.0
479477,1000.0
480478,973.0
481479,988.0
482480,1000.0
483481,983.0
484482,989.0
485483,976.0
486484,990.0
487485,989.0
488486,970.0
489487,975.0
490488,969.0
491489,985.0
492490,982.0
493491,960.0
494492,990.0
495493,996.0
496494,960.0
497495,973.0
498496,977.0
499497,974.0
500498,975.0
501499,897.0
502500,974.0
503501,995.0
504502,981.0
505503,996.0
506504,989.0
507505,988.0
508506,991.0
509507,976.0
510508,984.0
511509,907.0
512510,961.0
513511,994.0
514512,994.0
515513,965.0
516514,393.0
517515,986.0
518516,1000.0
519517,969.0
520518,605.0
521519,916.0
522520,957.0
523521,984.0
524522,981.0
525523,995.0
526524,992.0
527525,982.0
528526,997.0
529527,1000.0
530528,992.0
531529,975.0
532530,987.0
533531,979.0
534532,994.0
535533,991.0
536534,985.0
537535,989.0
538536,967.0
539537,997.0
540538,986.0
541539,977.0
542540,1000.0
543541,986.0
544542,977.0
545543,971.0
546544,999.0
547545,985.0
548546,973.0
549547,1000.0
550548,971.0
551549,981.0
552550,1000.0
553551,1000.0
554552,983.0
555553,989.0
556554,997.0
557555,996.0
558556,972.0
559557,986.0
560558,988.0
561559,1000.0
562560,988.0
563561,984.0
564562,977.0
565563,970.0
566564,991.0
567565,987.0
568566,987.0
569567,1000.0
570568,994.0
571569,1000.0
572570,980.0
573571,1000.0
574572,964.0
575573,992.0
576574,971.0
577575,1000.0
578576,984.0
579577,974.0
580578,990.0
581579,978.0
582580,991.0
583581,968.0
584582,974.0
585583,955.0
586584,978.0
587585,990.0
588586,961.0
589587,966.0
590588,970.0
591589,979.0
592590,984.0
593591,978.0
594592,968.0
595593,943.0
596594,975.0
597595,974.0
598596,955.0
599597,978.0
600598,988.0
601599,984.0
602600,999.0
603601,983.0
604602,976.0
605603,991.0
606604,1000.0
607605,996.0
608606,984.0
609607,975.0
610608,928.0
611609,957.0
612610,981.0
613611,972.0
614612,989.0
615613,996.0
616614,964.0
617615,978.0
618616,989.0
619617,988.0
620618,980.0
621619,985.0
622620,978.0
623621,978.0
624622,981.0
625623,1000.0
626624,969.0
627625,1000.0
628626,996.0
629627,937.0
630628,970.0
631629,995.0
632630,951.0
633631,971.0
634632,991.0
635633,957.0
636634,989.0
637635,975.0
638636,985.0
639637,977.0
640638,969.0
641639,998.0
642640,978.0
643641,967.0
644642,975.0
645643,996.0
646644,966.0
647645,976.0
648646,981.0
649647,970.0
650648,992.0
651649,993.0
652650,985.0
653651,985.0
654652,965.0
655653,986.0
656654,964.0
657655,967.0
658656,982.0
659657,986.0
660658,991.0
661659,985.0
662660,995.0
663661,934.0
664662,992.0
665663,968.0
666664,982.0
667665,969.0
668666,967.0
669667,966.0
670668,699.0
671669,969.0
672670,956.0
673671,998.0
674672,991.0
675673,980.0
676674,957.0
677675,987.0
678676,956.0
679677,981.0
680678,970.0
681679,993.0
682680,987.0
683681,791.0
684682,999.0
685683,997.0
686684,1000.0
687685,984.0
688686,993.0
689687,995.0
690688,996.0
691689,986.0
692690,972.0
693691,985.0
694692,985.0
695693,986.0
696694,973.0
697695,985.0
698696,981.0
699697,982.0
700698,975.0
701699,874.0
702700,995.0
703701,983.0
704702,990.0
705703,984.0
706704,994.0
707705,979.0
708706,984.0
709707,985.0
710708,989.0
711709,988.0
712710,1000.0
713711,988.0
714712,983.0
715713,984.0
716714,985.0
717715,992.0
718716,988.0
719717,981.0
720718,980.0
721719,978.0
722720,974.0
723721,977.0
724722,1000.0
725723,993.0
726724,990.0
727725,992.0
728726,995.0
729727,998.0
730728,975.0
731729,969.0
732730,974.0
733731,987.0
734732,971.0
735733,982.0
736734,984.0
737735,973.0
738736,977.0
739737,982.0
740738,986.0
741739,976.0
742740,980.0
743741,983.0
744742,1000.0
745743,931.0
746744,985.0
747745,961.0
748746,965.0
749747,988.0
750748,992.0
