timestep,episodic_return
1000,0.0
2001,0.0
3002,0.0
4003,3.0
5004,0.0
6005,0.0
7006,0.0
8007,14.0
9008,0.0
10009,0.0
11010,0.0
12011,0.0
13012,0.0
14013,0.0
15014,0.0
16015,0.0
17016,0.0
18017,0.0
19018,0.0
20019,0.0
21020,0.0
22021,0.0
23022,0.0
24023,0.0
25024,0.0
26025,0.0
27026,0.0
28027,0.0
29028,0.0
30029,0.0
31030,0.0
32031,0.0
33032,0.0
34033,0.0
35034,0.0
36035,0.0
37036,0.0
38037,0.0
39038,0.0
40039,0.0
41040,0.0
42041,0.0
43042,0.0
44043,0.0
45044,0.0
46045,0.0
47046,0.0
48047,0.0
49048,16.0
50049,0.0
51050,0.0
52051,0.0
53052,0.0
54053,0.0
55054,0.0
56055,0.0
57056,0.0
58057,0.0
59058,0.0
60059,0.0
61060,0.0
62061,0.0
63062,0.0
64063,0.0
65064,0.0
66065,0.0
67066,0.0
68067,0.0
69068,0.0
70069,0.0
71070,0.0
72071,0.0
73072,0.0
74073,0.0
75074,0.0
76075,0.0
77076,0.0
78077,0.0
79078,0.0
80079,1.0
81080,0.0
82081,0.0
83082,0.0
84083,0.0
85084,0.0
86085,0.0
87086,0.0
88087,0.0
89088,0.0
90089,0.0
91090,0.0
92091,0.0
93092,0.0
94093,0.0
95094,0.0
96095,3.0
97096,0.0
98097,0.0
99098,0.0
100099,0.0
101100,0.0
102101,0.0
103102,4.0
104103,0.0
105104,0.0
106105,16.0
107106,0.0
108107,0.0
109108,0.0
110109,0.0
111110,0.0
112111,0.0
113112,0.0
114113,0.0
115114,0.0
116115,0.0
117116,0.0
118117,0.0
119118,0.0
120119,0.0
121120,0.0
122121,0.0
123122,0.0
124123,0.0
125124,0.0
126125,0.0
127126,0.0
128127,0.0
129128,0.0
130129,29.0
131130,0.0
132131,0.0
133132,0.0
134133,0.0
135134,0.0
136135,0.0
137136,0.0
138137,0.0
139138,0.0
140139,0.0
141140,0.0
142141,0.0
143142,0.0
144143,0.0
145144,0.0
146145,0.0
147146,0.0
148147,0.0
149148,0.0
150149,0.0
151150,0.0
152151,0.0
153152,0.0
154153,0.0
155154,0.0
156155,0.0
157156,0.0
158157,0.0
159158,0.0
160159,0.0
161160,0.0
162161,0.0
163162,40.0
164163,0.0
165164,0.0
166165,0.0
167166,0.0
168167,0.0
169168,0.0
170169,0.0
171170,0.0
172171,0.0
173172,0.0
174173,0.0
175174,0.0
176175,0.0
177176,0.0
178177,0.0
179178,0.0
180179,0.0
181180,0.0
182181,0.0
183182,0.0
184183,0.0
185184,0.0
186185,0.0
187186,0.0
188187,0.0
189188,0.0
190189,0.0
191190,0.0
192191,0.0
193192,0.0
194193,0.0
195194,0.0
196195,0.0
197196,0.0
198197,0.0
199198,15.0
200199,0.0
201200,0.0
202201,0.0
203202,0.0
204203,0.0
205204,0.0
206205,0.0
207206,0.0
208207,41.0
209208,0.0
210209,0.0
211210,0.0
212211,0.0
213212,0.0
214213,0.0
215214,0.0
216215,0.0
217216,0.0
218217,0.0
219218,0.0
220219,0.0
221220,34.0
222221,0.0
223222,0.0
224223,0.0
225224,0.0
226225,0.0
227226,0.0
228227,0.0
229228,0.0
230229,21.0
231230,0.0
232231,0.0
233232,0.0
234233,0.0
235234,0.0
236235,0.0
237236,0.0
238237,0.0
239238,0.0
240239,0.0
241240,0.0
242241,0.0
243242,0.0
244243,0.0
245244,0.0
246245,0.0
247246,0.0
248247,0.0
249248,0.0
250249,0.0
251250,0.0
252251,110.0
253252,0.0
254253,90.0
255254,0.0
256255,0.0
257256,0.0
258257,0.0
259258,0.0
260259,78.0
261260,0.0
262261,87.0
263262,0.0
264263,0.0
265264,0.0
266265,107.0
267266,0.0
268267,0.0
269268,0.0
270269,0.0
271270,0.0
272271,0.0
273272,0.0
274273,0.0
275274,0.0
276275,61.0
277276,0.0
278277,63.0
279278,0.0
280279,0.0
281280,0.0
282281,0.0
283282,0.0
284283,0.0
285284,0.0
286285,0.0
287286,0.0
288287,0.0
289288,70.0
290289,0.0
291290,86.0
292291,0.0
293292,0.0
294293,0.0
295294,0.0
296295,0.0
297296,0.0
298297,0.0
299298,0.0
300299,63.0
301300,0.0
302301,0.0
303302,0.0
304303,0.0
305304,58.0
306305,66.0
307306,0.0
308307,0.0
309308,0.0
310309,12.0
311310,51.0
312311,0.0
313312,0.0
314313,46.0
315314,0.0
316315,15.0
317316,0.0
318317,0.0
319318,55.0
320319,0.0
321320,33.0
322321,45.0
323322,19.0
324323,41.0
325324,63.0
326325,0.0
327326,0.0
328327,0.0
329328,10.0
330329,71.0
331330,0.0
332331,0.0
333332,37.0
334333,41.0
335334,31.0
336335,30.0
337336,0.0
338337,58.0
339338,64.0
340339,0.0
341340,7.0
342341,56.0
343342,67.0
344343,60.0
345344,26.0
346345,59.0
347346,0.0
348347,39.0
349348,58.0
350349,63.0
351350,56.0
352351,37.0
353352,0.0
354353,53.0
355354,0.0
356355,39.0
357356,0.0
358357,0.0
359358,0.0
360359,27.0
361360,0.0
362361,0.0
363362,43.0
364363,0.0
365364,0.0
366365,0.0
367366,0.0
368367,0.0
369368,0.0
370369,49.0
371370,0.0
372371,56.0
373372,0.0
374373,0.0
375374,57.0
376375,0.0
377376,0.0
378377,49.0
379378,0.0
380379,0.0
381380,62.0
382381,0.0
383382,53.0
384383,0.0
385384,23.0
386385,0.0
387386,10.0
388387,28.0
389388,40.0
390389,59.0
391390,14.0
392391,13.0
393392,23.0
394393,8.0
395394,47.0
396395,32.0
397396,42.0
398397,0.0
399398,40.0
400399,57.0
401400,14.0
402401,49.0
403402,37.0
404403,18.0
405404,55.0
406405,54.0
407406,64.0
408407,14.0
409408,51.0
410409,13.0
411410,37.0
412411,12.0
413412,29.0
414413,25.0
415414,23.0
416415,0.0
417416,55.0
418417,52.0
419418,56.0
420419,57.0
421420,57.0
422421,23.0
423422,57.0
424423,56.0
425424,37.0
426425,29.0
427426,60.0
428427,60.0
429428,0.0
430429,43.0
431430,61.0
432431,49.0
433432,50.0
434433,29.0
435434,37.0
436435,47.0
437436,33.0
438437,35.0
439438,36.0
440439,59.0
441440,35.0
442441,56.0
443442,22.0
444443,51.0
445444,51.0
446445,33.0
447446,37.0
448447,0.0
449448,55.0
450449,62.0
451450,0.0
452451,59.0
453452,0.0
454453,41.0
455454,59.0
456455,56.0
457456,47.0
458457,56.0
459458,0.0
460459,54.0
461460,38.0
462461,28.0
463462,46.0
464463,36.0
465464,29.0
466465,33.0
467466,0.0
468467,58.0
469468,61.0
470469,99.0
471470,46.0
472471,40.0
473472,65.0
474473,70.0
475474,44.0
476475,38.0
477476,46.0
478477,53.0
479478,0.0
480479,46.0
481480,46.0
482481,55.0
483482,56.0
484483,42.0
485484,43.0
486485,54.0
487486,51.0
488487,40.0
489488,0.0
490489,63.0
491490,62.0
492491,39.0
493492,45.0
494493,49.0
495494,49.0
496495,55.0
497496,58.0
498497,60.0
499498,40.0
500499,49.0
501500,45.0
502501,31.0
503502,28.0
504503,33.0
505504,38.0
506505,33.0
507506,31.0
508507,0.0
509508,0.0
510509,41.0
511510,32.0
512511,0.0
513512,62.0
514513,0.0
515514,59.0
516515,54.0
517516,53.0
518517,58.0
519518,46.0
520519,57.0
521520,39.0
522521,55.0
523522,40.0
524523,60.0
525524,0.0
526525,0.0
527526,55.0
528527,51.0
529528,59.0
530529,43.0
531530,60.0
532531,46.0
533532,46.0
534533,47.0
535534,45.0
536535,43.0
537536,57.0
538537,48.0
539538,35.0
540539,59.0
541540,60.0
542541,43.0
543542,50.0
544543,73.0
545544,42.0
546545,47.0
547546,45.0
548547,57.0
549548,59.0
550549,39.0
551550,55.0
552551,63.0
553552,79.0
554553,51.0
555554,40.0
556555,64.0
557556,60.0
558557,57.0
559558,37.0
560559,62.0
561560,85.0
562561,82.0
563562,41.0
564563,42.0
565564,45.0
566565,54.0
567566,44.0
568567,62.0
569568,93.0
570569,57.0
571570,35.0
572571,83.0
573572,53.0
574573,98.0
575574,69.0
576575,87.0
577576,82.0
578577,83.0
579578,107.0
580579,34.0
581580,40.0
582581,43.0
583582,67.0
584583,52.0
585584,23.0
586585,18.0
587586,96.0
588587,54.0
589588,59.0
590589,65.0
591590,43.0
592591,19.0
593592,102.0
594593,98.0
595594,59.0
596595,64.0
597596,51.0
598597,26.0
599598,58.0
600599,11.0
601600,53.0
602601,57.0
603602,68.0
604603,61.0
605604,78.0
606605,52.0
607606,104.0
608607,47.0
609608,109.0
610609,54.0
611610,26.0
612611,102.0
613612,0.0
614613,110.0
615614,49.0
616615,59.0
617616,43.0
618617,40.0
619618,46.0
620619,69.0
621620,55.0
622621,55.0
623622,70.0
624623,44.0
625624,70.0
626625,22.0
627626,59.0
628627,41.0
629628,40.0
630629,69.0
631630,22.0
632631,61.0
633632,75.0
634633,64.0
635634,39.0
636635,44.0
637636,36.0
638637,72.0
639638,57.0
640639,50.0
641640,65.0
642641,48.0
643642,50.0
644643,68.0
645644,75.0
646645,92.0
647646,26.0
648647,31.0
649648,0.0
650649,10.0
651650,71.0
652651,79.0
653652,24.0
654653,46.0
655654,59.0
656655,37.0
657656,73.0
658657,94.0
659658,62.0
660659,39.0
661660,75.0
662661,0.0
663662,93.0
664663,0.0
665664,0.0
666665,0.0
667666,0.0
668667,13.0
669668,85.0
670669,29.0
671670,74.0
672671,13.0
673672,109.0
