timestep,episodic_return
1000,4.0
2001,0.0
3002,53.0
4003,0.0
5004,53.0
6005,353.0
7006,66.0
8007,281.0
9008,293.0
10009,455.0
11010,314.0
12011,896.0
13012,627.0
14013,12.0
15014,843.0
16015,0.0
17016,648.0
18017,0.0
19018,847.0
20019,802.0
21020,499.0
22021,0.0
23022,864.0
24023,763.0
25024,9.0
26025,826.0
27026,885.0
28027,807.0
29028,921.0
30029,943.0
31030,9.0
32031,827.0
33032,976.0
34033,940.0
35034,957.0
36035,907.0
37036,0.0
38037,648.0
39038,936.0
40039,941.0
41040,938.0
42041,988.0
43042,895.0
44043,88.0
45044,51.0
46045,861.0
47046,0.0
48047,37.0
49048,0.0
50049,47.0
51050,27.0
52051,706.0
53052,950.0
54053,0.0
55054,951.0
56055,926.0
57056,926.0
58057,949.0
59058,547.0
60059,0.0
61060,281.0
62061,0.0
63062,922.0
64063,0.0
65064,91.0
66065,170.0
67066,748.0
68067,911.0
69068,981.0
70069,15.0
71070,296.0
72071,952.0
73072,0.0
74073,0.0
75074,0.0
76075,61.0
77076,937.0
78077,935.0
79078,0.0
80079,0.0
81080,0.0
82081,938.0
83082,956.0
84083,946.0
85084,25.0
86085,0.0
87086,2.0
88087,117.0
89088,0.0
90089,306.0
91090,961.0
92091,956.0
93092,299.0
94093,0.0
95094,926.0
96095,961.0
97096,957.0
98097,952.0
99098,941.0
100099,938.0
101100,0.0
102101,0.0
103102,911.0
104103,0.0
105104,0.0
106105,891.0
107106,127.0
108107,0.0
109108,248.0
110109,3.0
111110,0.0
112111,907.0
113112,0.0
114113,919.0
115114,895.0
116115,969.0
117116,0.0
118117,938.0
119118,0.0
120119,863.0
121120,152.0
122121,724.0
123122,931.0
124123,950.0
125124,0.0
126125,974.0
127126,941.0
128127,875.0
129128,973.0
130129,934.0
131130,852.0
132131,0.0
133132,985.0
134133,955.0
135134,0.0
136135,0.0
137136,922.0
138137,951.0
139138,268.0
140139,0.0
141140,499.0
142141,111.0
143142,80.0
144143,0.0
145144,326.0
146145,0.0
147146,918.0
148147,963.0
149148,900.0
150149,818.0
151150,957.0
152151,395.0
153152,160.0
154153,24.0
155154,903.0
156155,385.0
157156,0.0
158157,869.0
159158,0.0
160159,975.0
161160,950.0
162161,182.0
163162,991.0
164163,16.0
165164,911.0
166165,0.0
167166,0.0
168167,929.0
169168,664.0
170169,642.0
171170,0.0
172171,13.0
173172,964.0
174173,0.0
175174,0.0
176175,237.0
177176,767.0
178177,0.0
179178,862.0
180179,48.0
181180,941.0
182181,937.0
183182,947.0
184183,0.0
185184,902.0
186185,915.0
187186,951.0
188187,946.0
189188,970.0
190189,153.0
191190,902.0
192191,937.0
193192,1000.0
194193,967.0
195194,8.0
196195,950.0
197196,903.0
198197,994.0
199198,7.0
200199,981.0
201200,977.0
202201,970.0
203202,8.0
204203,0.0
205204,981.0
206205,931.0
207206,936.0
208207,0.0
209208,937.0
210209,37.0
211210,961.0
212211,970.0
213212,959.0
214213,0.0
215214,11.0
