timestep,episodic_return
999,0.0
2000,48.0
3001,59.0
4002,38.0
5003,0.0
6004,78.0
7005,0.0
8006,21.0
9007,179.0
10008,8.0
11009,0.0
12010,0.0
13011,860.0
14012,0.0
15013,789.0
16014,0.0
17015,0.0
18016,80.0
19017,844.0
20018,0.0
21019,0.0
22020,237.0
23021,0.0
24022,0.0
25023,772.0
26024,218.0
27025,0.0
28026,851.0
29027,0.0
30028,0.0
31029,0.0
32030,0.0
33031,845.0
34032,990.0
35033,0.0
36034,0.0
37035,36.0
38036,9.0
39037,21.0
40038,30.0
41039,283.0
42040,944.0
43041,0.0
44042,950.0
45043,585.0
46044,997.0
47045,979.0
48046,967.0
49047,880.0
50048,988.0
51049,977.0
52050,740.0
53051,0.0
54052,198.0
55053,0.0
56054,874.0
57055,986.0
58056,979.0
59057,490.0
60058,965.0
61059,0.0
62060,954.0
63061,969.0
64062,0.0
65063,0.0
66064,956.0
67065,10.0
68066,26.0
69067,835.0
70068,756.0
71069,988.0
72070,983.0
73071,0.0
74072,953.0
75073,898.0
76074,856.0
77075,896.0
78076,979.0
79077,947.0
80078,0.0
81079,411.0
82080,0.0
83081,909.0
84082,859.0
85083,939.0
86084,957.0
87085,993.0
88086,4.0
89087,988.0
90088,996.0
91089,712.0
92090,595.0
93091,38.0
94092,337.0
95093,893.0
96094,0.0
97095,986.0
98096,969.0
99097,968.0
100098,984.0
101099,992.0
102100,962.0
103101,904.0
104102,961.0
105103,0.0
106104,0.0
107105,966.0
108106,972.0
109107,972.0
110108,973.0
111109,0.0
112110,985.0
113111,983.0
114112,953.0
115113,978.0
116114,804.0
117115,186.0
118116,436.0
119117,956.0
120118,994.0
121119,983.0
122120,969.0
123121,961.0
124122,988.0
125123,881.0
126124,932.0
127125,989.0
128126,980.0
129127,883.0
130128,979.0
131129,987.0
132130,41.0
133131,719.0
134132,997.0
135133,792.0
136134,962.0
137135,525.0
138136,970.0
139137,819.0
140138,0.0
141139,358.0
142140,936.0
143141,959.0
144142,985.0
145143,963.0
146144,980.0
147145,1000.0
148146,652.0
149147,1000.0
150148,943.0
151149,964.0
152150,952.0
153151,981.0
154152,983.0
155153,988.0
156154,980.0
157155,980.0
158156,988.0
159157,985.0
160158,937.0
161159,970.0
162160,997.0
163161,993.0
164162,933.0
165163,973.0
166164,844.0
167165,996.0
168166,996.0
169167,976.0
170168,968.0
171169,995.0
172170,964.0
173171,987.0
174172,999.0
175173,977.0
176174,957.0
177175,988.0
178176,963.0
179177,1000.0
180178,959.0
181179,836.0
182180,958.0
183181,973.0
184182,973.0
185183,171.0
186184,946.0
187185,939.0
188186,992.0
189187,994.0
190188,800.0
191189,980.0
192190,988.0
193191,977.0
194192,978.0
195193,988.0
196194,991.0
197195,975.0
198196,961.0
199197,3.0
200198,986.0
201199,982.0
202200,1000.0
203201,960.0
204202,994.0
205203,977.0
206204,994.0
207205,975.0
208206,965.0
209207,974.0
210208,968.0
211209,985.0
212210,978.0
213211,977.0
214212,979.0
215213,953.0
216214,1000.0
217215,974.0
218216,983.0
219217,611.0
220218,990.0
221219,883.0
222220,833.0
223221,983.0
224222,915.0
225223,984.0
226224,987.0
227225,983.0
228226,972.0
229227,970.0
230228,975.0
231229,980.0
232230,974.0
233231,991.0
234232,110.0
235233,640.0
236234,977.0
237235,983.0
238236,987.0
239237,986.0
240238,975.0
241239,968.0
242240,977.0
243241,995.0
244242,975.0
245243,953.0
246244,993.0
247245,633.0
248246,977.0
249247,979.0
250248,1000.0
251249,993.0
252250,624.0
253251,983.0
254252,6.0
255253,970.0
256254,961.0
257255,971.0
258256,979.0
259257,987.0
260258,988.0
261259,985.0
262260,980.0
263261,966.0
264262,980.0
265263,980.0
266264,985.0
267265,985.0
268266,998.0
269267,975.0
270268,976.0
271269,956.0
272270,949.0
273271,992.0
274272,991.0
275273,967.0
276274,971.0
277275,959.0
278276,960.0
279277,980.0
280278,980.0
281279,978.0
282280,987.0
283281,995.0
284282,939.0
285283,980.0
286284,990.0
287285,990.0
288286,983.0
289287,967.0
290288,988.0
291289,872.0
292290,990.0
293291,990.0
294292,982.0
295293,963.0
296294,971.0
297295,940.0
298296,976.0
299297,989.0
300298,970.0
301299,975.0
302300,972.0
303301,977.0
304302,942.0
305303,969.0
306304,967.0
307305,962.0
308306,981.0
309307,983.0
310308,958.0
311309,975.0
312310,989.0
313311,967.0
314312,990.0
315313,970.0
316314,985.0
317315,959.0
318316,997.0
319317,987.0
320318,960.0
321319,997.0
322320,987.0
323321,972.0
324322,973.0
325323,997.0
326324,993.0
327325,989.0
328326,991.0
329327,984.0
330328,975.0
331329,967.0
332330,994.0
333331,743.0
334332,968.0
335333,981.0
336334,951.0
337335,980.0
338336,970.0
339337,954.0
340338,1000.0
341339,984.0
342340,942.0
343341,988.0
344342,967.0
345343,978.0
346344,981.0
347345,991.0
348346,973.0
349347,981.0
350348,1000.0
351349,978.0
352350,995.0
353351,986.0
354352,986.0
355353,991.0
356354,994.0
357355,982.0
358356,962.0
359357,1000.0
360358,976.0
361359,926.0
362360,981.0
363361,995.0
364362,995.0
365363,968.0
366364,1000.0
367365,988.0
368366,983.0
369367,988.0
370368,983.0
371369,970.0
372370,989.0
373371,975.0
374372,988.0
375373,986.0
376374,1000.0
377375,992.0
378376,973.0
379377,988.0
380378,982.0
381379,960.0
382380,973.0
383381,983.0
384382,974.0
385383,980.0
386384,973.0
387385,984.0
388386,991.0
389387,977.0
390388,978.0
391389,985.0
392390,991.0
393391,998.0
394392,974.0
395393,984.0
396394,980.0
397395,993.0
398396,1000.0
399397,985.0
400398,988.0
401399,990.0
402400,988.0
403401,988.0
404402,952.0
405403,940.0
406404,954.0
407405,983.0
408406,950.0
409407,981.0
410408,985.0
411409,982.0
412410,982.0
413411,967.0
414412,732.0
415413,956.0
416414,978.0
417415,969.0
418416,972.0
419417,971.0
420418,980.0
421419,965.0
422420,1000.0
423421,979.0
424422,973.0
425423,973.0
426424,976.0
427425,977.0
428426,965.0
429427,996.0
430428,989.0
431429,978.0
432430,980.0
433431,961.0
434432,34.0
435433,961.0
436434,983.0
437435,988.0
438436,951.0
439437,975.0
440438,976.0
441439,975.0
442440,961.0
443441,976.0
444442,989.0
445443,970.0
446444,710.0
447445,1000.0
448446,983.0
449447,976.0
450448,606.0
451449,972.0
452450,994.0
453451,984.0
454452,998.0
455453,940.0
456454,972.0
457455,965.0
458456,966.0
459457,999.0
460458,997.0
461459,990.0
462460,963.0
463461,972.0
464462,985.0
465463,919.0
466464,991.0
467465,994.0
468466,982.0
469467,993.0
470468,984.0
471469,984.0
472470,972.0
473471,961.0
474472,969.0
475473,980.0
476474,980.0
477475,987.0
478476,1000.0
479477,972.0
480478,980.0
481479,979.0
482480,985.0
483481,990.0
484482,997.0
485483,982.0
486484,974.0
487485,984.0
488486,969.0
489487,532.0
490488,926.0
491489,986.0
492490,971.0
493491,995.0
494492,972.0
495493,968.0
496494,976.0
497495,985.0
498496,983.0
499497,998.0
500498,949.0
501499,993.0
502500,992.0
503501,990.0
504502,993.0
505503,991.0
506504,968.0
507505,941.0
508506,979.0
509507,981.0
510508,1000.0
511509,980.0
512510,981.0
513511,993.0
514512,987.0
515513,995.0
516514,979.0
517515,983.0
518516,970.0
519517,1000.0
520518,976.0
521519,997.0
522520,974.0
523521,986.0
524522,982.0
525523,959.0
526524,980.0
527525,965.0
528526,983.0
529527,970.0
530528,988.0
531529,988.0
532530,975.0
533531,972.0
534532,993.0
535533,988.0
536534,974.0
537535,973.0
538536,972.0
539537,970.0
540538,998.0
541539,991.0
542540,972.0
543541,966.0
544542,967.0
545543,982.0
546544,962.0
547545,991.0
548546,977.0
549547,958.0
550548,994.0
551549,966.0
552550,528.0
553551,972.0
554552,994.0
555553,961.0
556554,989.0
557555,986.0
558556,988.0
559557,971.0
560558,989.0
561559,963.0
562560,978.0
563561,985.0
564562,985.0
565563,934.0
566564,966.0
567565,985.0
568566,982.0
569567,990.0
570568,993.0
571569,994.0
572570,980.0
573571,966.0
574572,999.0
575573,967.0
576574,983.0
577575,986.0
578576,975.0
579577,977.0
580578,994.0
581579,985.0
582580,985.0
583581,984.0
584582,980.0
585583,979.0
586584,980.0
587585,992.0
588586,990.0
589587,968.0
590588,977.0
591589,969.0
592590,982.0
593591,534.0
594592,990.0
595593,987.0
596594,994.0
597595,978.0
598596,978.0
599597,978.0
600598,963.0
601599,983.0
602600,991.0
603601,968.0
604602,983.0
605603,961.0
606604,953.0
607605,962.0
608606,974.0
609607,890.0
610608,996.0
611609,971.0
612610,998.0
613611,980.0
614612,972.0
615613,973.0
616614,968.0
617615,968.0
618616,992.0
619617,984.0
620618,991.0
621619,987.0
622620,981.0
623621,983.0
624622,988.0
625623,989.0
626624,992.0
627625,983.0
628626,999.0
629627,972.0
630628,955.0
631629,981.0
632630,980.0
633631,1000.0
634632,980.0
635633,975.0
636634,981.0
637635,904.0
638636,972.0
639637,966.0
640638,976.0
641639,984.0
642640,730.0
643641,987.0
644642,985.0
645643,988.0
646644,980.0
647645,995.0
648646,994.0
649647,973.0
650648,986.0
651649,994.0
652650,1000.0
653651,990.0
654652,922.0
655653,974.0
656654,993.0
657655,1000.0
658656,971.0
659657,993.0
660658,981.0
661659,976.0
662660,958.0
663661,977.0
664662,805.0
665663,995.0
666664,982.0
667665,971.0
668666,977.0
669667,980.0
670668,978.0
671669,983.0
672670,594.0
673671,979.0
674672,993.0
675673,990.0
676674,984.0
677675,971.0
678676,983.0
679677,965.0
680678,1000.0
681679,993.0
682680,984.0
683681,993.0
684682,997.0
685683,973.0
686684,1000.0
687685,982.0
688686,971.0
689687,977.0
690688,983.0
691689,983.0
692690,969.0
693691,991.0
694692,977.0
695693,983.0
696694,990.0
697695,968.0
698696,979.0
699697,929.0
700698,974.0
701699,987.0
702700,977.0
703701,992.0
704702,987.0
705703,931.0
706704,969.0
707705,998.0
708706,977.0
709707,960.0
710708,982.0
711709,977.0
712710,985.0
713711,980.0
714712,961.0
715713,992.0
716714,981.0
717715,966.0
718716,988.0
719717,976.0
720718,984.0
721719,964.0
722720,950.0
723721,986.0
724722,973.0
725723,923.0
726724,982.0
727725,993.0
728726,981.0
729727,994.0
730728,965.0
731729,988.0
732730,986.0
733731,965.0
734732,980.0
735733,988.0
736734,997.0
737735,989.0
738736,982.0
739737,974.0
740738,1000.0
741739,997.0
742740,970.0
743741,998.0
744742,987.0
745743,993.0
746744,980.0
747745,988.0
748746,990.0
749747,985.0
750748,996.0
751749,999.0
752750,985.0
753751,984.0
754752,976.0
755753,990.0
756754,973.0
757755,967.0
758756,977.0
759757,970.0
760758,986.0
761759,702.0
762760,968.0
763761,978.0
764762,997.0
765763,978.0
766764,968.0
767765,973.0
768766,989.0
769767,976.0
770768,970.0
771769,964.0
772770,992.0
773771,982.0
774772,983.0
775773,990.0
776774,991.0
777775,1000.0
778776,976.0
779777,981.0
780778,960.0
781779,989.0
782780,975.0
783781,991.0
784782,986.0
785783,978.0
786784,974.0
787785,971.0
788786,983.0
789787,990.0
790788,987.0
791789,980.0
792790,972.0
793791,977.0
794792,996.0
795793,979.0
796794,970.0
797795,990.0
798796,982.0
799797,983.0
800798,985.0
801799,987.0
802800,986.0
803801,998.0
804802,994.0
805803,988.0
806804,983.0
807805,1000.0
808806,983.0
809807,1000.0
810808,978.0
811809,914.0
812810,967.0
813811,984.0
814812,969.0
815813,978.0
816814,994.0
817815,1000.0
818816,980.0
819817,988.0
820818,983.0
821819,997.0
822820,988.0
823821,971.0
824822,976.0
825823,988.0
826824,970.0
827825,994.0
828826,978.0
829827,985.0
830828,996.0
831829,997.0
832830,980.0
833831,990.0
834832,974.0
835833,988.0
836834,980.0
837835,973.0
838836,922.0
839837,993.0
840838,990.0
841839,990.0
842840,997.0
843841,978.0
844842,986.0
845843,992.0
846844,989.0
847845,999.0
848846,969.0
849847,978.0
850848,799.0
851849,984.0
852850,991.0
853851,981.0
854852,975.0
855853,962.0
856854,809.0
857855,979.0
858856,991.0
859857,964.0
860858,987.0
861859,974.0
862860,977.0
863861,932.0
864862,987.0
865863,980.0
866864,1000.0
867865,991.0
868866,981.0
869867,969.0
870868,1000.0
871869,904.0
872870,987.0
873871,986.0
874872,988.0
875873,986.0
876874,977.0
877875,983.0
878876,515.0
879877,974.0
880878,543.0
881879,926.0
882880,982.0
883881,991.0
884882,968.0
885883,980.0
886884,967.0
887885,891.0
888886,748.0
889887,967.0
890888,981.0
891889,963.0
892890,965.0
893891,982.0
894892,976.0
895893,978.0
896894,993.0
897895,985.0
898896,999.0
899897,976.0
900898,977.0
901899,975.0
902900,995.0
903901,972.0
904902,895.0
905903,976.0
906904,981.0
907905,1000.0
908906,951.0
909907,984.0
910908,979.0
911909,989.0
912910,999.0
913911,986.0
914912,1000.0
915913,684.0
916914,988.0
917915,995.0
918916,980.0
919917,982.0
920918,966.0
921919,890.0
922920,995.0
923921,973.0
924922,992.0
925923,972.0
926924,969.0
927925,972.0
928926,936.0
929927,968.0
930928,989.0
931929,985.0
932930,978.0
933931,987.0
934932,986.0
935933,973.0
936934,983.0
937935,986.0
938936,968.0
939937,978.0
940938,987.0
941939,987.0
942940,839.0
943941,972.0
944942,1000.0
945943,991.0
946944,984.0
947945,989.0
948946,996.0
949947,981.0
950948,996.0
951949,965.0
952950,962.0
953951,976.0
954952,990.0
955953,947.0
956954,979.0
957955,976.0
958956,998.0
959957,974.0
960958,982.0
961959,977.0
962960,966.0
963961,983.0
964962,974.0
965963,996.0
966964,975.0
967965,1000.0
968966,997.0
969967,901.0
970968,982.0
971969,991.0
972970,980.0
973971,980.0
974972,992.0
975973,984.0
976974,989.0
977975,974.0
978976,983.0
979977,989.0
980978,997.0
981979,991.0
982980,990.0
983981,960.0
984982,988.0
985983,1000.0
986984,988.0
987985,968.0
988986,960.0
989987,981.0
990988,993.0
991989,988.0
992990,974.0
993991,989.0
994992,983.0
995993,953.0
996994,981.0
997995,985.0
998996,985.0
999997,970.0
